Origem,Destino
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Letras
Universidade Federal de Minas Gerais/GRADUACAO/Letras,Universidade Federal de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Linguística
Universidade Federal de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Linguística,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagem
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Física Licenciatura
Universidade Federal de Minas Gerais/GRADUACAO/Física Licenciatura,Universidade Federal de Minas Gerais/MESTRADO/Educação
Universidade Federal de Minas Gerais/MESTRADO/Educação,Universidade Federal de Minas Gerais/DOUTORADO/Educação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Estatística
Universidade Federal de Minas Gerais/GRADUACAO/Estatística,Universidade Federal de Minas Gerais/MESTRADO/Engenharia De Produção - Produção E Logística
Universidade Federal de Minas Gerais/MESTRADO/Engenharia De Produção - Produção E Logística,Universidade Federal de Minas Gerais/DOUTORADO/Estatística
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário do Planalto de Araxá/GRADUACAO/Ciências Biológicas
Centro Universitário do Planalto de Araxá/GRADUACAO/Ciências Biológicas,Universidade de São Paulo/MESTRADO/Biologia Comparada
Universidade de São Paulo/MESTRADO/Biologia Comparada,Universidade de São Paulo/DOUTORADO/Biologia Comparada
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Elétrica
Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Química
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Química,Universidade Federal de Minas Gerais/MESTRADO/ De Ciências E Técnicas Nucleares
Universidade Federal de Minas Gerais/MESTRADO/ De Ciências E Técnicas Nucleares,"Centro de Desenvolvimento da Tecnologia Nuclear/DOUTORADO/Cienc. Tecnologia Radiações, Minerais E Materiais"
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Pedagogia
Universidade Federal de Minas Gerais/GRADUACAO/Pedagogia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia,Universidade Federal de Minas Gerais/DOUTORADO/Educação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Elétrica Industrial
Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Elétrica Industrial,Universidade Federal de São João Del-Rei/MESTRADO/Engenharia Elétrica (ufsj / Cefet-mg)
