Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
0030172084604212,,,,,,,,,Letras,Universidade Federal de Minas Gerais,2004,2008,,,,,Programa De Pós-graduação Em Linguística,Universidade Federal de Minas Gerais,2010,2012,Estudos De Linguagem,Centro Federal de Educação Tecnológica de Minas Gerais,2015,2018
0040621540867052,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1997,1999,Física Licenciatura,Universidade Federal de Minas Gerais,2002,2005,,,,,Educação,Universidade Federal de Minas Gerais,2006,2008,Educação,Universidade Federal de Minas Gerais,2012,2016
0048917456220923,,,,,Eletromecânica,Centro Federal de Educação Tecnológica de Minas Gerais,2000,2002,Estatística,Universidade Federal de Minas Gerais,2005,2008,,,,,Engenharia De Produção - Produção E Logística,Universidade Federal de Minas Gerais,2009,2011,Estatística,Universidade Federal de Minas Gerais,2011,2015
0054130506390778,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1992,1996,Ciências Biológicas,Centro Universitário do Planalto de Araxá,2001,2005,,,,,Biologia Comparada,Universidade de São Paulo,2006,2008,Biologia Comparada,Universidade de São Paulo,2008,2012
0057571397708278,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1993,1995,Engenharia Mecânica,Pontifícia Universidade Católica de Minas Gerais,2021,,,,,,Engenharia Elétrica,Pontifícia Universidade Católica de Minas Gerais,2002,2003,Engenharia Elétrica,Universidade Federal de Minas Gerais,2010,2012
0096505935651596,,,,,Química Industrial,Centro Federal de Educação Tecnológica de Minas Gerais,1996,1998,Engenharia Química,Universidade Federal de Minas Gerais,1999,2004,,,,, De Ciências E Técnicas Nucleares,Universidade Federal de Minas Gerais,2004,2006,"Cienc. Tecnologia Radiações, Minerais E Materiais",Centro de Desenvolvimento da Tecnologia Nuclear,2013,2019
0129323556531304,,,,,,,,,Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1999,2004,,,,,Engenharia Elétrica,Universidade Federal de Minas Gerais,2004,2006,Engenharia Elétrica,Universidade Federal de Minas Gerais,2009,2014
0156197892875545,,,,,,,,,Pedagogia,Universidade Federal de Minas Gerais,1991,1995,,,,,Tecnologia,Centro Federal de Educação Tecnológica de Minas Gerais,1997,1999,Educação,Universidade Federal de Minas Gerais,2001,2004
0193823400243551,,,,,Eletromecânica,Centro Federal de Educação Tecnológica de Minas Gerais,2000,2003,Engenharia Elétrica Industrial,Universidade Federal de São João Del-Rei,2005,2009,,,,,Engenharia Elétrica (ufsj / Cefet-mg),Universidade Federal de São João Del-Rei,2010,2012,Engenharia Elétrica,Universidade Federal de Minas Gerais,2013,2017
0249563467742892,,,,,,,,,Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1997,2002,,,,,Engenharia Elétrica,Universidade Federal de Minas Gerais,2002,2005,Engenharia Elétrica,Universidade Federal de Minas Gerais,2009,2013
0342014878408861,,,,,Química,Centro Federal de Educação Tecnológica de Minas Gerais,1987,1989,Engenharia Química,Universidade Federal de Minas Gerais,1991,1996,,,,,Engenharia Química,Universidade Federal de Minas Gerais,1996,1999,Engenharia Mecânica,Universidade Federal de Minas Gerais,1999,2003
0376427578680562,,,,,Metalurgia,Instituto Federal Minas Gerais,1990,2001,Engenharia Industrial Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1993,2000,,,,,Engenharia Mecânica,Universidade Federal de Minas Gerais,2006,2008,Engenharia De Materiais,Universidade Federal de Ouro Preto,2011,2016
0384697972696127,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1987,1989,Engenharia Elétrica,Universidade Federal de Minas Gerais,1991,1996,,,,,Engenharia Elétrica,Universidade Federal de Minas Gerais,1996,1998,Engenharia Elétrica,Universidade Federal de Minas Gerais,2005,2009
0392812753827562,,,,,,Escola Técnica Federal de Goiás,1981,1984,Licenciatura Plena Em Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1988,1990,,,,,Engenharia De Produção,Universidade Federal de Santa Catarina,2000,2002,Engenharia De Produção,Universidade Federal de Santa Catarina,2005,2009
0435800144372924,,,,,Eletrotecnica,Centro Federal de Educação Tecnológica de Minas Gerais,1984,1986,Engenharia Plena,Pontifícia Universidade Católica de Minas Gerais,1987,1993,,,,,Engenharia Mecânica,Universidade Federal de Minas Gerais,1997,1999,Engenharia Elétrica,Universidade Federal de Minas Gerais,2004,2009
0439450274124588,,,,,,,,,Letras,Universidade Federal de São João Del-Rei,2007,2011,,,,,Teoria Literaria E Critica Da Cultura,Universidade Federal de São João Del-Rei,2012,2014,"Discurso, Mídia E Tecnologia",Centro Federal de Educação Tecnológica de Minas Gerais,2017,2021
0458971388614741,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2003,2005,Tecnologia Em Radiologia,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2009,,,,,Ciências Técnicas Nucleares,Universidade Federal de Minas Gerais,2011,2013,Ciências Técnicas Nucleares,Universidade Federal de Minas Gerais,2013,2017
0487113229071944,,,,,,,,,Engenharia Industrial Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1993,1998,,,,,Física,Universidade Federal de Minas Gerais,1998,2000,Física,Universidade Federal de Minas Gerais,2000,2004
0498963442583078,,,,,,,,,Licenciatura Plena Em Química Pura E Aplicada,Centro Federal de Educação Tecnológica de Minas Gerais,1986,1990,,,,,Engenharia De Produção E Sistemas,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1995,1997,Química E Biotecnologia,Universidade Federal de Alagoas,2010,2015
0521334155968808,,,,,Química Industrial,Centro Federal de Educação Tecnológica de Minas Gerais,1986,1988,Farmácia,Universidade Federal de Minas Gerais,1989,1992,,,,,Medicina Veterinária,Universidade Federal de Minas Gerais,1995,1997,Ciências Farmacêuticas,Universidade de São Paulo,2001,2005
0529973259046894,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1981,1983,Engenharia Química,Universidade Federal de Minas Gerais,1985,1990,,,,,Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais,1992,1994,Engenharia Mecânica,Universidade Federal de Minas Gerais,2008,2012
