Identificador,Cidade de Origem,Estado de Origem,País de Origem,Instituição de Atuação,Cidade de Atuação,Estado de Atuação,País de Atuação
0030172084604212,Belo Horizonte,MG,Brasil,Universidade Federal da Integração Latino-Americana,Foz do Iguaçu,PR,Brasil
0040621540867052,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
0048917456220923,Goiânia,GO,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
0054130506390778,Ribeirão Preto,SP,Brasil,Universidade de São Paulo,Ribeirão Preto,SP,Brasil
0057571397708278,Belo Horizonte,MG,Brasil,Pontifícia Universidade Católica de Minas Gerais,Belo Horizonte,MG,Brasil
0096505935651596,Belo Horizonte,MG,Brasil,Centro de Desenvolvimento da Tecnologia Nuclear,Belo Horizonte,MG,Brasil
0129323556531304,Contagem,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
0156197892875545,Além Paraíba,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
0193823400243551,São Sebastião do Oeste,MG,Brasil,Centro Federal de Educação Tecnologica de Minas Gerais-Campus Nepomuceno,Nepomuceno,MG,Brasil
0249563467742892,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais
0342014878408861,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
0376427578680562,Itabirito,MG,Brasil,CEMIG Distribuidora,Contagem,MG,Brasil
0384697972696127,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
0392812753827562,Goiânia,GO,Brasil,Pontifícia Universidade Católica de Goiás,Goiania,GO,Brasil
0435800144372924,CONSELHEIRO LAFAIETE,MG,Brasil,Companhia Energética de Minas Gerais S/A,Belo Horizonte,MG,Brasil
0439450274124588,São João del-Rei,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais
0458971388614741,BELO HORIZONTE,MG,Brasil,Current Analytical Chemistry
0487113229071944,Belo Horizonte,,Brasil,Universidade Federal de São João Del-Rei,Ouro Branco,MG,Brasil
0498963442583078,Maceió,AL,Brasil,Instituto Federal de Alagoas - Matriz,Satuba,AL,Brasil
0521334155968808,Belo Horizonte,MG,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
0529973259046894,São Luis,MA,Brasil,Universidade Federal de São João Del-Rei,Ouro Branco,MG,Brasil
0544360374992066,Belo Horizonte,MG,Brasil,Pontifícia Universidade Católica de Minas Gerais
0570351348662387,BELO HORIZONTE,MG,Brasil,Pontifícia Universidade Católica de Minas Gerais
0573379397721449,Belo Horizonte,MG,Brasil,
0600049394426786,,MG,Brasil,Centro Técnico Aeroespacial,Sao Jose dos Campos,SP,Brasil
