CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Informática Industrial,2010.0,5.0,Engenharia De Materiais,2013.0,10,Engenharia Elétrica,2018.0,16.0,Engenharia Mecânica,2012.0,5.0
Meio Ambiente,2010.0,5.0,Engenharia De Controle E Automação,2015.0,9,Engenharia Elétrica,2017.0,16.0,Engenharia Elétrica,2014.0,5.0
Química,2003.0,5.0,Engenharia Mecânica,2014.0,9,Engenharia De Materiais,2015.0,13.0,Modelagem Matemática E Computacional,2018.0,5.0
Edificações,1999.0,4.0,Engenharia Elétrica,2012.0,9,Engenharia Elétrica,2016.0,12.0,Modelagem Matemática E Computacional,2019.0,5.0
Química Industrial,2004.0,4.0,Programa Especial De Formação De Docente,2017.0,8,Modelagem Matemática E Computacional,2015.0,11.0,Engenharia Elétrica,2019.0,5.0
Eletrônica,1996.0,4.0,Química Tecnológica,2013.0,8,Engenharia Elétrica,2014.0,11.0,Estudos De Linguagens,2019.0,4.0
Eletrônica,1999.0,4.0,Engenharia De Produção Civil,2013.0,8,Educação Tecnológica,2009.0,11.0,Engenharia Elétrica,2007.0,4.0
Química,2009.0,4.0,Engenharia Elétrica,2015.0,8,Engenharia Elétrica,2005.0,11.0,Engenharia Elétrica,2009.0,4.0
Edificações,2007.0,4.0,Engenharia Mecânica,2013.0,8,Modelagem Matemática E Computacional,2013.0,11.0,Engenharia Elétrica,2015.0,4.0
Eletrônica,2004.0,4.0,Engenharia Elétrica,2003.0,7,Engenharia De Materiais,2018.0,10.0,Modelagem Matemática E Computacional,2021.0,3.0
Química,1998.0,4.0,Engenharia Elétrica,2014.0,7,Modelagem Matemática E Computacional,2007.0,10.0,Engenharia Metalúrgica E De Minas,2018.0,3.0
Edificações,1996.0,4.0,Engenharia Civil,2015.0,7,Estudos De Linguagens,2014.0,10.0,Engenharia Elétrica,2006.0,3.0
