CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Edificações,1997.0,6.0,Engenharia De Materiais,2008.0,12,Engenharia Elétrica,2016.0,15.0,Estudos De Linguagens,2017.0,10.0
Eletrônica,2001.0,5.0,Engenharia Elétrica,2008.0,10,Engenharia Elétrica,2015.0,13.0,Modelagem Matemática E Computacional,2017.0,9.0
Eletrônica,1999.0,5.0,Engenharia De Controle E Automação,2009.0,9,Engenharia Elétrica,2014.0,12.0,Engenharia Elétrica,2019.0,9.0
Edificações,2005.0,5.0,Engenharia Mecânica,2009.0,9,Educação Tecnológica,2007.0,12.0,Engenharia Elétrica,2018.0,8.0
Turismo E Lazer,2000.0,5.0,Programa Especial De Formação De Docente,2016.0,8,Modelagem Matemática E Computacional,2011.0,12.0,Modelagem Matemática E Computacional,2020.0,8.0
Edificações,1994.0,5.0,Engenharia Elétrica,2007.0,8,Estudos De Linguagens,2011.0,11.0,Estudos De Linguagens,2021.0,7.0
Eletromecânica,2003.0,4.0,Ciência Da Computação,1996.0,7,Modelagem Matemática E Computacional,2012.0,11.0,Engenharia Elétrica,2015.0,7.0
Química Industrial,2002.0,4.0,Engenharia Mecânica,2008.0,7,Engenharia De Materiais,2013.0,11.0,Modelagem Matemática E Computacional,2014.0,7.0
Química,1997.0,4.0,Engenharia Elétrica,1998.0,7,Modelagem Matemática E Computacional,2013.0,11.0,Estudos De Linguagens,2015.0,7.0
Eletrônica,1993.0,4.0,Engenharia Elétrica,1993.0,7,Engenharia De Materiais,2014.0,11.0,Modelagem Matemática E Computacional,2013.0,6.0
Informática Industrial,2008.0,4.0,Engenharia Civil,2008.0,7,Engenharia Elétrica,2012.0,10.0,Engenharia Elétrica,2009.0,6.0
Eletromecânica,2000.0,3.0,Engenharia Elétrica,2009.0,7,Engenharia De Materiais,2016.0,10.0,Modelagem Matemática E Computacional,2016.0,6.0
Eletrônica,1995.0,3.0,Ciência Da Computação,1999.0,6,Modelagem Matemática E Computacional,2010.0,9.0,Engenharia Elétrica,2011.0,5.0
Eletrônica,2000.0,3.0,Química,2004.0,6,Estudos De Linguagens,2018.0,9.0,Estudos De Linguagens,2020.0,5.0
Eletrônica,1996.0,3.0,Engenharia Mecânica,2007.0,6,Estudos De Linguagens,2017.0,9.0,Modelagem Matemática E Computacional,2018.0,5.0
Química,2005.0,3.0,Engenharia Industrial Mecânica,1993.0,6,Modelagem Matemática E Computacional,2005.0,9.0,Engenharia Elétrica,2004.0,5.0
Química,1996.0,3.0,Engenharia Civil,2010.0,6,Estudos De Linguagens,2016.0,8.0,Engenharia Elétrica,2005.0,5.0
Eletrônica,1994.0,3.0,Matemática,2006.0,6,Estudos De Linguagens,2013.0,8.0,Engenharia Elétrica,2020.0,4.0
Química,1994.0,3.0,Engenharia Mecatrônica,2008.0,6,Modelagem Matemática E Computacional,2014.0,8.0,Engenharia Elétrica,2010.0,4.0
Eletromecânica,2006.0,3.0,Engenharia Civil,1998.0,6,Estudos De Linguagens,2012.0,8.0,Estudos De Linguagens,2019.0,4.0
Meio Ambiente,2009.0,3.0,Engenharia Elétrica,2004.0,6,Engenharia Civil,2014.0,8.0,Engenharia Mecânica,2007.0,4.0
Meio Ambiente,2006.0,3.0,Engenharia De Produção Civil,2010.0,6,Modelagem Matemática E Computacional,2006.0,8.0,Engenharia Mecânica,2008.0,4.0
Química Industrial,2000.0,3.0,Engenharia De Materiais,2009.0,5,Engenharia Elétrica,2013.0,7.0,Engenharia Mecânica,2018.0,4.0
Química,2000.0,3.0,Letras,2006.0,5,Estudos De Linguagens,2010.0,7.0,Engenharia Metalúrgica E De Minas,2015.0,4.0
Informática Industrial,1995.0,3.0,Química,1998.0,5,Engenharia Elétrica,2003.0,7.0,Estudos De Linguagens,2016.0,4.0
Informática Industrial,2003.0,3.0,Farmácia,2009.0,5,Engenharia Elétrica,2001.0,7.0,Engenharia Elétrica,2000.0,3.0
Eletrônica Industrial,2002.0,2.0,Ciência Da Computação,2001.0,5,Modelagem Matemática E Computacional,2007.0,7.0,Engenharia Elétrica,2001.0,3.0
Química,1979.0,2.0,Ciência Da Computação,2004.0,5,Engenharia De Materiais,2017.0,7.0,Educação,2012.0,3.0
Informática Industrial,2001.0,2.0,Ciência Da Computação,2006.0,5,Modelagem Matemática E Computacional,2008.0,7.0,Educação,2015.0,3.0
Química,1991.0,2.0,Engenharia Elétrica,2005.0,5,Engenharia De Materiais,2015.0,7.0,Engenharia Elétrica,2003.0,3.0
Química,1990.0,2.0,Engenharia De Produção Civil,2008.0,5,Educação Tecnológica,2009.0,7.0,Engenharia De Estruturas,2011.0,3.0
Informática Industrial,2000.0,2.0,Programa Especial De Formação De Docente,2015.0,5,Educação Tecnológica,2010.0,7.0,Engenharia Civil,2021.0,3.0
Edificações,1995.0,2.0,Química Tecnológica,2008.0,5,Educação Tecnológica,2017.0,6.0,Engenharia Civil,2019.0,3.0
Eletrônica,1992.0,2.0,Química Tecnológica,2007.0,5,Engenharia Mecânica,2016.0,6.0,Engenharia Civil,2018.0,3.0
Mecatrônica,2009.0,2.0,Matemática,2003.0,5,Engenharia Elétrica,2017.0,6.0,Engenharia Mecânica,2001.0,3.0
Mecânica,1982.0,2.0,Engenharia Elétrica,2011.0,5,Estudos De Linguagens,2015.0,6.0,Química,2020.0,3.0
Edificações,2004.0,2.0,Engenharia Elétrica,2010.0,5,Estudos De Linguagens,2014.0,6.0,Estudos De Linguagens,2018.0,3.0
