CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Informática Industrial,2010.0,5,Engenharia De Materiais,2013.0,9.0,Modelagem Matemática E Computacional,2013.0,11.0,Modelagem Matemática E Computacional,2018.0,5.0
Química,2003.0,5,Engenharia De Produção Civil,2013.0,8.0,Modelagem Matemática E Computacional,2015.0,11.0,Modelagem Matemática E Computacional,2019.0,5.0
Meio Ambiente,2010.0,5,Química Tecnológica,2013.0,7.0,Educação Tecnológica,2009.0,11.0,Estudos De Linguagens,2019.0,4.0
Edificações,2007.0,4,Programa Especial De Formação De Docente,2017.0,7.0,Estudos De Linguagens,2014.0,10.0,Modelagem Matemática E Computacional,2021.0,3.0
Eletrônica,1999.0,4,Engenharia Elétrica,2012.0,6.0,Engenharia De Materiais,2015.0,10.0,Estudos De Linguagens,2018.0,2.0
Eletrônica,2004.0,4,Engenharia Elétrica,2013.0,5.0,Engenharia De Materiais,2016.0,9.0,Modelagem Matemática E Computacional,2017.0,2.0
Química Industrial,2004.0,4,Engenharia De Materiais,2017.0,5.0,Estudos De Linguagens,2018.0,9.0,"Discurso, Mídia E Tecnologia",2021.0,1.0
Eletrônica,1996.0,4,Engenharia De Controle E Automação,2011.0,5.0,Modelagem Matemática E Computacional,2014.0,9.0,Estudos De Linguagem,2018.0,1.0
Química,2009.0,4,Letras,2017.0,5.0,Estudos De Linguagens,2019.0,9.0,Estudos De Linguagens,2020.0,1.0
Turismo E Lazer,2002.0,4,Engenharia De Materiais,2015.0,4.0,Engenharia De Materiais,2018.0,9.0,Estudos De Linguagens,2021.0,1.0
Edificações,1999.0,4,Engenharia De Produção Civil,2006.0,4.0,Modelagem Matemática E Computacional,2007.0,9.0,Estudos De Linguagens,2022.0,1.0
Química,1998.0,3,Engenharia De Produção Civil,2008.0,4.0,Modelagem Matemática E Computacional,2012.0,8.0,Modelagem Matematica E Computacional,2017.0,1.0
Eletrônica,2001.0,3,Programa Especial De Formação De Docente,2016.0,4.0,Modelagem Matemática E Computacional,2009.0,8.0,Modelagem Matemática E Computacional,2020.0,1.0
Química,2011.0,3,Tecnologia Em Radiologia,2005.0,4.0,Educação Tecnológica,2016.0,7.0,,,
Eletromecânica,2006.0,3,Engenharia Industrial Mecânica,1999.0,4.0,Estudos De Linguagens,2016.0,7.0,,,
Edificações,2009.0,3,Engenharia Industrial Elétrica,2007.0,4.0,Estudos De Linguagens,2015.0,7.0,,,
Eletrônica,1985.0,3,Engenharia Industrial Elétrica,2003.0,4.0,Modelagem Matemática E Computacional,2011.0,7.0,,,
Edificações,1996.0,3,Engenharia Industrial Elétrica,2000.0,4.0,Estudos De Linguagens,2013.0,7.0,,,
Edificações,1997.0,3,Tecnologia Em Radiologia,2009.0,4.0,Modelagem Matemática E Computacional,2017.0,7.0,,,
Edificações,2008.0,3,Engenharia Elétrica,2015.0,4.0,Estudos De Linguagens,2012.0,7.0,,,
Química Industrial,2007.0,3,Engenharia De Produção Civil,2015.0,3.0,Estudos De Linguagens,2017.0,7.0,,,
Eletrônica,1995.0,3,Engenharia De Produção Civil,2017.0,3.0,Estudos De Linguagens,2020.0,7.0,,,
Informática Industrial,2006.0,3,Engenharia Mecatrônica,2013.0,3.0,Educação Tecnológica,2012.0,7.0,,,
