source,target
Universidade Federal Fluminense,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Estadual Do Rio De Janeiro
Pontifícia Universidade Católica Do Paraná,Universidade Federal Do Paraná
Universidade Federal Do Paraná,Universidade Federal Do Paraná
Universidade De São Paulo,Universidade De São Paulo
Universidade De São Paulo,Mcgill University
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Do Vale Do Itajaí,Universidade Federal De Santa Catarina
Universidade Federal De Santa Catarina,Universidade Federal Do Rio Grande Do Sul
Faculdade De Agronomia E Zootecnia Manoel Carlos Gonçalves,Universidade Federal De Goiás
Universidade Federal De Goiás,Texas A & M University
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Federal Do Rio De Janeiro
Universidade Federal De Juiz De Fora,Instituto Universitário De Pesquisas Do Rio De Janeiro
Instituto Universitário De Pesquisas Do Rio De Janeiro,Universidade Do Estado Do Rio De Janeiro
Universidade Do Estado Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Paraná,Universidade Federal Do Paraná
Universidade Federal Do Paraná,Universidade De São Paulo
Universidade Federal Da Paraíba,Universidade Federal Da Paraíba
Universidade Federal Da Paraíba,Universidade Federal Da Paraíba
Universidade Federal Do Rio Grande Do Sul,Instituto Militar De Engenharia
Instituto Militar De Engenharia,University Of London
Universidade Federal De Pelotas,University California Davis
University California Davis,University Of Guelph
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,George Washington University
Universidade Do Estado Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal De Santa Maria,Universidade Federal De Santa Maria
Universidade Federal De Santa Maria,Universidade Estadual De Campinas
Universidade Federal Do Ceará,Universidade Federal Do Ceará
Universidade Federal Do Ceará,Universidade Federal Do Ceará
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal Do Ceará,Instituto Nacional De Pesquisas Da Amazônia
Instituto Nacional De Pesquisas Da Amazônia,Instituto Nacional De Pesquisas Da Amazônia
Universidade Do Estado De Santa Catarina - Udesc,Universidade De São Paulo
Universidade De São Paulo,Universidade Estadual De Maringá
Universidade Federal De Santa Catarina,Universidade Federal De Santa Catarina
Universidade Federal De Santa Catarina,University Of Leeds
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Federal De Lavras
