source,target
Pontifícia Universidade Católica De Campinas,Universidade De São Paulo
Universidade De São Paulo,Universidade Federal De São Carlos
Université Paris Iv-sorbonne,Ecole Des Hautes Etudes En Sciences Sociales-paris
Universidade Federal Fluminense,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Estadual Do Rio De Janeiro
Universidade De São Paulo,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade Federal Fluminense,Universidade Federal Fluminense
Universidade Federal Fluminense,Universidade Federal Do Rio De Janeiro
Universidade Federal De Santa Maria,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Federal De Santa Maria,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade Federal De Juiz De Fora,Universidade Federal De Juiz De Fora
Universidade Federal De Juiz De Fora,Universidade Federal Do Rio De Janeiro
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Federal De Minas Gerais,Pontifícia Universidade Católica Do Rio De Janeiro
Pontifícia Universidade Católica Do Rio De Janeiro,Universidade Federal Fluminense
Universidade Do Estado Do Rio De Janeiro,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Faculdade Evangelica Mackenzie Do Parana,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal De São Paulo
Universidade Federal De Goiás,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Federal De Campina Grande,Universidade Federal De Campina Grande
Universidade Federal De Campina Grande,Universidade Federal Da Paraíba
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Pontifícia Universidade Católica Do Rio De Janeiro,Pontifícia Universidade Católica Do Rio De Janeiro
Pontifícia Universidade Católica Do Rio De Janeiro,Pontifícia Universidade Católica Do Rio De Janeiro
Pontifícia Universidade Católica Do Paraná,Universidade Federal Do Paraná
Universidade Federal Do Paraná,Universidade Federal Do Paraná
Universidade Federal Do Ceará,Universidade Federal Do Ceará
Universidade Federal Do Ceará,Universidade Federal Do Ceará
Universidade Estadual De Maringá,Universidade Estadual De Londrina
Universidade Federal De Santa Catarina,Universidade Federal De Santa Catarina
Universidade Federal De Santa Catarina,Universidade Federal De Santa Catarina
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade De São Paulo,Universidade De São Paulo
Universidade De São Paulo,Universidade Federal De São Paulo
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal De Santa Catarina,Universidade Federal De Santa Catarina
Universidade Federal De Santa Catarina,Texas A M University
Universidade De São Paulo,Universidade De São Paulo
Universidade De São Paulo,Mcgill University
Universidade Federal Do Rio Grande Do Norte,Universidade Federal Do Rio Grande Do Norte
Universidade Federal Do Rio Grande Do Norte,Universidade Estadual Paulista Júlio De Mesquita Filho
Universidade Federal Da Bahia,Universidade Federal Da Bahia
Universidade Federal Da Bahia,Universidade Estadual De Campinas
Universidade De São Paulo,Pontifícia Universidade Católica Do Rio De Janeiro
Pontifícia Universidade Católica Do Rio De Janeiro,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Federal De Santa Maria,Universidade Federal De Santa Maria
Universidade Federal De Santa Maria,Universidade Federal De Santa Maria
Universidade Do Vale Do Itajaí,Universidade Federal De Santa Catarina
Universidade Federal De Santa Catarina,Universidade Federal Do Rio Grande Do Sul
Universidade Federal De Santa Maria,Universidade Federal De Santa Maria
Universidade Federal De Santa Maria,Universidade Federal De Santa Maria
Faculdade De Agronomia E Zootecnia Manoel Carlos Gonçalves,Universidade Federal De Goiás
Universidade Federal De Goiás,Texas A & M University
Universidade Nova De Lisboa,Universidade Técnica De Lisboa
Universidade Técnica De Lisboa,Universidade Nova De Lisboa
Universidade Federal De Minas Gerais,Pontifícia Universidade Católica De Minas Gerais
Pontifícia Universidade Católica De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio Grande Do Sul,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
