id,Label
Faculdade De Agronomia E Zootecnia Manoel Carlos Gonçalves,Faculdade De Agronomia E Zootecnia Manoel Carlos Gonçalves
University California Davis,University California Davis
Universidade Do Estado De Santa Catarina - Udesc,Universidade Do Estado De Santa Catarina - Udesc
Escuela Nacional De Antropologia E História,Escuela Nacional De Antropologia E História
Faculdade De Farmácia,Faculdade De Farmácia
Instituto De Microbiologia Prof. Paulo De Góes,Instituto De Microbiologia Prof. Paulo De Góes
Universidade Comunitária Regional De Chapecó,Universidade Comunitária Regional De Chapecó
Universidade Integrada Do Alto Uruguai E Das Missões,Universidade Integrada Do Alto Uruguai E Das Missões
Universidad Del Valle,Universidad Del Valle
"Pontifícia Universidade Católica Do Rio De Janeiro/GRADUACAO/Engenharia Química, De Materiais E Processos Ambientais","Pontifícia Universidade Católica Do Rio De Janeiro/GRADUACAO/Engenharia Química, De Materiais E Processos Ambientais"
"Pontifícia Universidade Católica Do Rio De Janeiro/MESTRADO/Engenharia Química, De Materiais E Processos Ambientais","Pontifícia Universidade Católica Do Rio De Janeiro/MESTRADO/Engenharia Química, De Materiais E Processos Ambientais"
Escola Politécnica,Escola Politécnica
Universidad Del Oriente Cuba,Universidad Del Oriente Cuba
Departamento De Engenharia Elétrica,Departamento De Engenharia Elétrica
Faculdade De Tecnologia De São Paulo,Faculdade De Tecnologia De São Paulo
Instituto Agronômico De Campinas,Instituto Agronômico De Campinas
Rio Claro,Rio Claro
"Universidade Federal Do Rio Grande Do Sul/MESTRADO/Engenharia De Minas, Metalúrgica E De Materiais","Universidade Federal Do Rio Grande Do Sul/MESTRADO/Engenharia De Minas, Metalúrgica E De Materiais"
Faculdade De Ciências E Tecnologia,Faculdade De Ciências E Tecnologia
Fundação Escola De Sociologia E Política De São Paulo,Fundação Escola De Sociologia E Política De São Paulo
Centro De Pós-graduação E Pesquisas Em Administração,Centro De Pós-graduação E Pesquisas Em Administração
Fundação Universidade Federal Do Tocantins,Fundação Universidade Federal Do Tocantins
Faculdade De Filosofia De Campos,Faculdade De Filosofia De Campos
Centro Universitário Internacional,Centro Universitário Internacional
Faculdade De Filosofia Ciências E Letras De Jahú,Faculdade De Filosofia Ciências E Letras De Jahú
Faculdade Paulistana De Ciências E Letras,Faculdade Paulistana De Ciências E Letras
Instituto De Ciências Biológicas,Instituto De Ciências Biológicas
Faculdade De Humanidade Pedro Ii,Faculdade De Humanidade Pedro Ii
Departamento De Engenharia Química,Departamento De Engenharia Química
Universidade La Salle - Canoas,Universidade La Salle - Canoas
Universidade De Mogi Das Cruzes,Universidade De Mogi Das Cruzes
Universidad Nacional Del Comahue,Universidad Nacional Del Comahue
London School Of Economics And Political Sciences,London School Of Economics And Political Sciences
Universidad Del Atlantico,Universidad Del Atlantico
Universidad De Cienfuegos,Universidad De Cienfuegos
Georgia Institute Of Technology,Georgia Institute Of Technology
Mie University,Mie University
Universitat De Barcelona,Universitat De Barcelona
Pontifícia Universidade Católica Do Rs,Pontifícia Universidade Católica Do Rs
"Universidade Federal De Minas Gerais/MESTRADO/Saneamento, Meio Ambiente E Recursos Hídricos","Universidade Federal De Minas Gerais/MESTRADO/Saneamento, Meio Ambiente E Recursos Hídricos"
Fundação Vale Paraibana De Ensino,Fundação Vale Paraibana De Ensino
Ohio State University,Ohio State University
Universidad De San Andrés,Universidad De San Andrés
Oxford Polytechnic - Joint Center For Urban Design,Oxford Polytechnic - Joint Center For Urban Design
Universidade Estácio De Sá,Universidade Estácio De Sá
Universidad Nacional De Tucumán,Universidad Nacional De Tucumán
Universidade São Francisco - Itatiba,Universidade São Francisco - Itatiba
Universidade Do Sul De Santa Catarina,Universidade Do Sul De Santa Catarina
Universidade Federal De Novossibirsk,Universidade Federal De Novossibirsk
Novosibirsk State University,Novosibirsk State University
Universidad De Santiago De Chile,Universidad De Santiago De Chile
Escola De Minas,Escola De Minas
Instituto De Geociências,Instituto De Geociências
Faculdade De Filosofia Ciencias E Letras Barão De Mauá Ribeirão Preto,Faculdade De Filosofia Ciencias E Letras Barão De Mauá Ribeirão Preto
Brown University,Brown University
Imperial College London - Silwood Park Campus,Imperial College London - Silwood Park Campus
Universidade São Judas Tadeu,Universidade São Judas Tadeu
Escola De Engenharia De São Carlos - Usp,Escola De Engenharia De São Carlos - Usp
Instituto De Física,Instituto De Física
Universidade Da Costa Rica,Universidade Da Costa Rica
Escola De Engenharia De São Carlos Universidade De São Paulo,Escola De Engenharia De São Carlos Universidade De São Paulo
Academia Militar Das Agulhas Negras (aman),Academia Militar Das Agulhas Negras (aman)
Universidade Estadual Do Centro-oeste,Universidade Estadual Do Centro-oeste
Centro Federal De Educação Tecnológica Celso Suckow Da Fonseca,Centro Federal De Educação Tecnológica Celso Suckow Da Fonseca
Centro De Ciências Exatas E Da Natureza - Campus I,Centro De Ciências Exatas E Da Natureza - Campus I
Universidade Da Região Da Campanha,Universidade Da Região Da Campanha
"Universidade De São Paulo/MESTRADO/Ensino De Ciências (modalidades Física, Química E Biologia)","Universidade De São Paulo/MESTRADO/Ensino De Ciências (modalidades Física, Química E Biologia)"
Programa De Pós Graduação Em Zoologia (museu Nacional,Programa De Pós Graduação Em Zoologia (museu Nacional
West Pakistan Agricultural University,West Pakistan Agricultural University
Faculdade De Engenharia De Guaratinguetá,Faculdade De Engenharia De Guaratinguetá
Andhra University,Andhra University
Faculdade De Filosofia Ciências E Letras De Santo André Sp,Faculdade De Filosofia Ciências E Letras De Santo André Sp
The Open University,The Open University
Escola Nacional De Química,Escola Nacional De Química
Universidade De Alfenas,Universidade De Alfenas
Universidade Franciscana,Universidade Franciscana
Universidade De Ribeirão Preto,Universidade De Ribeirão Preto
Faculdade De Filosofia Ciências E Letras De Ribeirão Preto,Faculdade De Filosofia Ciências E Letras De Ribeirão Preto
Centro Universitário Do Norte Paulista,Centro Universitário Do Norte Paulista
"Universidade Federal De Minas Gerais/MESTRADO/Ecologia, Conservação E Manejo Da Vida Silvestre","Universidade Federal De Minas Gerais/MESTRADO/Ecologia, Conservação E Manejo Da Vida Silvestre"
Centro Universitário São Camilo - Campus Pompeia,Centro Universitário São Camilo - Campus Pompeia
Universidad Tecnológica Nacional,Universidad Tecnológica Nacional
Universidad De Oriente,Universidad De Oriente
Universidade Estadual De Goiás,Universidade Estadual De Goiás
Universidad De La República Oriental Del Uruguay,Universidad De La República Oriental Del Uruguay
Faculdade De Belas Artes De São Paulo,Faculdade De Belas Artes De São Paulo
Universidade Da Amizade Dos Povos Patrice Lubumba,Universidade Da Amizade Dos Povos Patrice Lubumba
Universidade Para O Desenvolvimento Do Estado E Da Região Do Pantanal,Universidade Para O Desenvolvimento Do Estado E Da Região Do Pantanal
S B I,S B I
Coordenação Dos Programas De Pós Graduação Em Engenharia,Coordenação Dos Programas De Pós Graduação Em Engenharia
Escola De Veterinária,Escola De Veterinária
Faculdade De Ciências Agrárias E Veterinárias - Unesp - Jaboticabal,Faculdade De Ciências Agrárias E Veterinárias - Unesp - Jaboticabal
University Of The Pacific,University Of The Pacific
Northeastern University,Northeastern University
