Identificador,Grande Área,Área
0001582721310808,CIENCIAS_SOCIAIS_APLICADAS,Serviço Social
0011538181014807,CIENCIAS_BIOLOGICAS,Zoologia
0022988322449627,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0025274238475995,CIENCIAS_BIOLOGICAS,Ecologia
0028569012805646,CIENCIAS_SOCIAIS_APLICADAS,Comunicação
0029536556461484,CIENCIAS_AGRARIAS,Agronomia
0032876104097296,ENGENHARIAS,Engenharia Química
0034833639438787,CIENCIAS_HUMANAS,Sociologia
0036129846822289,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0040413891328104,CIENCIAS_BIOLOGICAS,Zoologia
0041843905239864,ENGENHARIAS,Engenharia Elétrica
0043444586596185,ENGENHARIAS,Engenharia Elétrica
0047397375411458,CIENCIAS_AGRARIAS,Agronomia
0049341984494164,ENGENHARIAS,Engenharia de Produção
0053820007772005,CIENCIAS_BIOLOGICAS,Imunologia
0057537518393822,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0057645238802910,CIENCIAS_DA_SAUDE,Medicina
0059223020502453,CIENCIAS_AGRARIAS,Ciência e Tecnologia de Alimentos
0060989785573065,CIENCIAS_AGRARIAS,Agronomia
0065844952697911,CIENCIAS_BIOLOGICAS,Biologia Geral
0066392238872051,CIENCIAS_AGRARIAS,Zootecnia
0067772895372542,ENGENHARIAS,Engenharia Civil
0068554244216474,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
0072954652250238,CIENCIAS_BIOLOGICAS,Fisiologia
0081210618221925,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
0084980191573168,CIENCIAS_DA_SAUDE,Odontologia
0091501164531871,CIENCIAS_BIOLOGICAS,Ecologia
0095031067497364,CIENCIAS_SOCIAIS_APLICADAS,Administração
0097683734501706,CIENCIAS_HUMANAS,Antropologia
0099860141022736,CIENCIAS_HUMANAS,Antropologia
0102666260390526,CIENCIAS_BIOLOGICAS,Microbiologia
0104906936908227,CIENCIAS_HUMANAS,História
0107279453428385,CIENCIAS_EXATAS_E_DA_TERRA,Química
,CIENCIAS_AGRARIAS,Agronomia
0112036159794570,CIENCIAS_DA_SAUDE,Enfermagem
0114608950477525,CIENCIAS_EXATAS_E_DA_TERRA,Física
0116792663386170,ENGENHARIAS,Engenharia Química
0124807800316091,CIENCIAS_HUMANAS,Antropologia
0127419824935492,CIENCIAS_HUMANAS,Filosofia
0128308087978829,LINGUISTICA_LETRAS_E_ARTES,Lingüística
0129423635403864,CIENCIAS_SOCIAIS_APLICADAS,Administração
0134821761458628,CIENCIAS_BIOLOGICAS,Genética
0138378882454566,ENGENHARIAS,Engenharia Elétrica
0141870030182207,CIENCIAS_AGRARIAS,Agronomia
0151285357488920,ENGENHARIAS,Engenharia Química
0160328557166941,,
0161747269063291,CIENCIAS_AGRARIAS,Agronomia
0162244851289477,CIENCIAS_AGRARIAS,Engenharia Agrícola
0164966065084195,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0170936565256270,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0171183220606416,CIENCIAS_EXATAS_E_DA_TERRA,Química
0182863293347169,ENGENHARIAS,Engenharia Elétrica
0186446294097309,ENGENHARIAS,Engenharia Civil
0187547195548392,CIENCIAS_EXATAS_E_DA_TERRA,Física
0187857348523672,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
0189644589413057,CIENCIAS_SOCIAIS_APLICADAS,Administração
0190530879188803,CIENCIAS_AGRARIAS,Agronomia
0194631586754988,CIENCIAS_BIOLOGICAS,Zoologia
0194745511728002,CIENCIAS_SOCIAIS_APLICADAS,Economia
0198518668202406,CIENCIAS_AGRARIAS,Zootecnia
0199786420638506,CIENCIAS_DA_SAUDE,Medicina
0201883600417969,CIENCIAS_HUMANAS,Antropologia
0202215328828014,CIENCIAS_SOCIAIS_APLICADAS,Comunicação
0205484470667278,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0207157049820845,CIENCIAS_SOCIAIS_APLICADAS,Economia
0208481199560436,CIENCIAS_EXATAS_E_DA_TERRA,Física
0210093975299031,ENGENHARIAS,Engenharia Elétrica
0223274024436216,CIENCIAS_BIOLOGICAS,Farmacologia
0225560551183999,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
0229590907405570,CIENCIAS_BIOLOGICAS,Fisiologia
0232995533976144,ENGENHARIAS,Engenharia de Minas
0233514913817700,CIENCIAS_AGRARIAS,Engenharia Agrícola
0236607123089481,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0244287001731375,CIENCIAS_HUMANAS,Educação
0249501011078363,CIENCIAS_BIOLOGICAS,Zoologia
0252438295481654,CIENCIAS_BIOLOGICAS,Botânica
0253893659766034,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
