Identificador,Grande Área,Área
0000793038362058,CIENCIAS_SOCIAIS_APLICADAS,Administração
0000915103413742,CIENCIAS_HUMANAS,Antropologia
0001582721310808,CIENCIAS_SOCIAIS_APLICADAS,Serviço Social
0001885194916158,CIENCIAS_HUMANAS,Filosofia
0002832763867853,CIENCIAS_HUMANAS,História
0003350901000829,ENGENHARIAS,Engenharia Química
0004299496087718,CIENCIAS_AGRARIAS,Agronomia
0004405929946327,CIENCIAS_EXATAS_E_DA_TERRA,Química
0004473428354479,ENGENHARIAS,Engenharia Elétrica
0004510508828540,CIENCIAS_DA_SAUDE,Odontologia
0004597502232092,CIENCIAS_DA_SAUDE,Odontologia
0004923271744434,CIENCIAS_SOCIAIS_APLICADAS,Arquitetura e Urbanismo
0005791997581423,CIENCIAS_HUMANAS,História
0008770194107817,CIENCIAS_DA_SAUDE,Medicina
0009015688374245,ENGENHARIAS,Engenharia Elétrica
0009469212634341,CIENCIAS_AGRARIAS,Zootecnia
0010160208417370,CIENCIAS_SOCIAIS_APLICADAS,Comunicação
0010848295031388,ENGENHARIAS,Engenharia Mecânica
0011538181014807,CIENCIAS_BIOLOGICAS,Zoologia
0011941849230820,CIENCIAS_EXATAS_E_DA_TERRA,Física
0012168139768170,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0014473244302699,LINGUISTICA_LETRAS_E_ARTES,Letras
0016091493799961,CIENCIAS_SOCIAIS_APLICADAS,Direito
0017683968952439,,
0018992452321910,CIENCIAS_BIOLOGICAS,Microbiologia
0020871455368076,CIENCIAS_AGRARIAS,Agronomia
0021199964477362,CIENCIAS_EXATAS_E_DA_TERRA,Química
0022988322449627,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0023445563721084,CIENCIAS_DA_SAUDE,Odontologia
0023950321397451,ENGENHARIAS,Engenharia Química
0024678785300440,CIENCIAS_EXATAS_E_DA_TERRA,Química
0024793279904352,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0025274238475995,CIENCIAS_BIOLOGICAS,Ecologia
0027221474823330,CIENCIAS_AGRARIAS,Medicina Veterinária
0028569012805646,CIENCIAS_SOCIAIS_APLICADAS,Comunicação
0029279904716491,CIENCIAS_EXATAS_E_DA_TERRA,Química
0029536556461484,CIENCIAS_AGRARIAS,Agronomia
0029960374321970,CIENCIAS_EXATAS_E_DA_TERRA,Probabilidade e Estatística
0029962971009244,CIENCIAS_BIOLOGICAS,Fisiologia
0031049365155055,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0032876104097296,ENGENHARIAS,Engenharia Química
0033345213407184,LINGUISTICA_LETRAS_E_ARTES,Artes
0033420815363929,CIENCIAS_HUMANAS,Sociologia
0033743659222185,CIENCIAS_HUMANAS,História
0034189381343924,CIENCIAS_SOCIAIS_APLICADAS,Serviço Social
0034833639438787,CIENCIAS_HUMANAS,Sociologia
0034894070455412,CIENCIAS_EXATAS_E_DA_TERRA,Física
0035105250269316,CIENCIAS_SOCIAIS_APLICADAS,Economia
0036129846822289,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
