Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
0001582721310808,nan,nan,nan,nan,nan,nan,nan,nan,Serviço Social,Universidade Federal Fluminense,1995,1998,nan,nan,nan,nan,Serviço Social,Universidade Federal Do Rio De Janeiro,2004,2006,Serviço Social,Universidade Estadual Do Rio De Janeiro,2008,2012
0011538181014807,nan,nan,nan,nan,nan,nan,nan,nan,Biologia,Pontifícia Universidade Católica Do Paraná,2000,2003,nan,nan,nan,nan,Zoologia,Universidade Federal Do Paraná,2005,2007,Zoologia,Universidade Federal Do Paraná,2007,2011
0022988322449627,nan,nan,nan,nan,nan,nan,nan,nan,Física,Universidade De São Paulo,1984,1988,nan,nan,nan,nan,Tecnologia Nuclear,Universidade De São Paulo,1989,1991,Engenharia De Materiais E Metalúrgica,Mcgill University,1991,1996
0025274238475995,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Universidade Estadual De Campinas,1998,2001,nan,nan,nan,nan,Ecologia,Universidade Estadual De Campinas,2002,2004,Ecologia,Universidade Estadual De Campinas,2004,2008
0028569012805646,nan,nan,nan,nan,nan,nan,nan,nan,Jornalismo,Universidade Do Vale Do Itajaí,1996,2000,nan,nan,nan,nan,Educação,Universidade Federal De Santa Catarina,2002,2004,Comunicação E Informação,Universidade Federal Do Rio Grande Do Sul,2010,2014
0029536556461484,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Faculdade De Agronomia E Zootecnia Manoel Carlos Gonçalves,1981,1984,nan,nan,nan,nan,Agronomia,Universidade Federal De Goiás,1989,1993,Plant Pathology And Microbiology,Texas A & M University,1999,2004
0032876104097296,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Química,Universidade Estadual De Campinas,1977,1981,nan,nan,nan,nan,Engenharia Química,Universidade Estadual De Campinas,1982,1986,Engenharia Química,Universidade Federal Do Rio De Janeiro,1988,1995
0034833639438787,nan,nan,nan,nan,nan,nan,nan,nan,História,Universidade Federal De Juiz De Fora,2003,2006,nan,nan,nan,nan,Sociologia,Instituto Universitário De Pesquisas Do Rio De Janeiro,2008,2009,Sociologia,Universidade Do Estado Do Rio De Janeiro,2010,2013
0036129846822289,nan,nan,nan,nan,Química,Escola Técnica Federal De Química,1981,1984,Química,Universidade Do Estado Do Rio De Janeiro,1986,1991,nan,nan,nan,nan,Físico-química,Universidade Federal Do Rio De Janeiro,1992,1995,Físico-química,Universidade Federal Do Rio De Janeiro,1997,2003
0040413891328104,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Universidade Federal Do Paraná,1986,1990,nan,nan,nan,nan,Zoologia,Universidade Federal Do Paraná,1996,1997,Ciências Biológicas (zoologia),Universidade De São Paulo,1998,2002
0041843905239864,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Elétrica,Universidade Federal Da Paraíba,1991,1996,nan,nan,nan,nan,Engenharia Elétrica,Universidade Federal Da Paraíba,1996,1997,Engenharia Elétrica,Universidade Federal Da Paraíba,1999,2002
0043444586596185,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Elétrica,Universidade Federal Do Rio Grande Do Sul,1971,1975,nan,nan,nan,nan,Engenharia Elétrica,Instituto Militar De Engenharia,1976,1979,Engenharia Elétrica,University Of London,1981,1986
0047397375411458,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Agronômica,Universidade Federal De Pelotas,1969,1972,nan,nan,nan,nan,Vegetable Crops,University California Davis,1976,1978,Horticulture,University Of Guelph,1988,1992
0049341984494164,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Civil,Universidade Federal Do Rio Grande Do Sul,1997,2001,nan,nan,nan,nan,Engenharia De Produção,Universidade Federal Do Rio Grande Do Sul,2002,2004,Engenharia,George Washington University,2006,2010
0053820007772005,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Biológicas,Universidade Do Estado Do Rio De Janeiro,1995,1999,nan,nan,nan,nan,Ciências (microbiologia),Universidade Federal Do Rio De Janeiro,2000,2002,Ciências (microbiologia),Universidade Federal Do Rio De Janeiro,2002,2006
0057537518393822,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia Florestal,Universidade Federal De Santa Maria,1994,1998,nan,nan,nan,nan,Engenharia Agrícola,Universidade Federal De Santa Maria,1999,2001,Geografia,Universidade Estadual De Campinas,2006,2010
0057645238802910,nan,nan,nan,nan,nan,nan,nan,nan,Farmacia,Universidade Federal Do Ceará,1989,1993,nan,nan,nan,nan,Farmacologia,Universidade Federal Do Ceará,1994,1997,Farmacologia,Universidade Federal Do Ceará,1997,2002
