Identificador,Cidade de Origem,Estado de Origem,País de Origem,Instituição de Atuação,Cidade de Atuação,Estado de Atuação,País de Atuação
0001582721310808,Rio de Janeiro,RJ,Brasil,Universidade Federal Fluminense,Niterói,RJ,Brasil
0011538181014807,Curitiba,PR,Brasil,Universidade Federal de Santa Catarina,Curitibanos,SC,Brasil
0022988322449627,São Paulo,SP,Brasil,Universidade Federal do Rio Grande do Norte,Natal,RN,Brasil
0025274238475995,Jacareí,SP,Brasil,Universidade Federal do Rio Grande do Norte,Natal,RN,Brasil
0028569012805646,Rio Negro,PR,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
0029536556461484,São Paulo,SP,Brasil,Empresa Brasileira de Pesquisa Agropecuária,Goiânia,GO,Brasil
0032876104097296,Mogi Mirim,SP,Brasil,Universidade Federal de Santa Catarina,Florianópolis,SC,Brasil
0034833639438787,Juiz de Fora,MG,Brasil,Universidade Federal de Juiz de Fora,Juiz de Fora,MG,Brasil
0036129846822289,Rio de Janeiro,RJ,Brasil,Universidade do Estado do Rio de Janeiro,Resende,RJ,Brasil
0040413891328104,Curitiba,PR,Brasil,Museu Paraense Emílio Goeldi,Belém,PA,Brasil
0041843905239864,Maceió,AL,Brasil,Universidade Federal de Campina Grande,Campina Grande,PB,Brasil
0043444586596185,Porto Alegre,RS,Brasil,Pontifícia Universidade Católica do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0047397375411458,Pelotas,RS,Brasil,Empresa Brasileira de Pesquisa Agropecuária,Pelotas,RS,Brasil
0049341984494164,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0053820007772005,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0057537518393822,Cascavel,PR,Brasil,Empresa Brasileira de Pesquisa Agropecuária,Campinas,SP,Brasil
0057645238802910,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
0059223020502453,Belo Horizonte,MG,Brasil,Universidade Federal de Viçosa,Viçosa,MG,Brasil
0060989785573065,Viçosa,MG,Brasil,Universidade Federal de Viçosa,Viçosa,MG,Brasil
0065844952697911,Fortaleza,CE,Brasil,Fundação Oswaldo Cruz,Manaus,AM,Brasil
0066392238872051,Palotina,PR,Brasil,Universidade Federal do Paraná,Palotina,PR,Brasil
0067772895372542,Meleiro,SC,Brasil,Universidade Federal de Santa Catarina,Florianópolis,SC,Brasil
0068554244216474,Chavantes,SP,Brasil,Universidade do Estado de Santa Catarina,Lages,SC,Brasil
0072954652250238,Rio de Janeiro,RJ,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
0081210618221925,Curitiba,PR,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
0084980191573168,São Gonçalo,RJ,Brasil,Universidade Federal Fluminense,Niterói,RJ,Brasil
0091501164531871,Curitiba,PR,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
0095031067497364,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro
0097683734501706,David,,Panamá,Universidade de Brasília
0099860141022736,Brasília,DF,Brasil,Universidade de Brasília,Brasília,DF,Brasil
0102666260390526,Doutor Camargo,PR,Brasil,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0104906936908227,Rio de Janeiro,RJ,Brasil,Universidade Federal do Espírito Santo,Vitoria,ES,Brasil
0107279453428385,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
,PARANAÍBA,MS,Brasil,Instituto Agronômico de Campinas,Campinas,SP,Brasil
0112036159794570,Goiânia,GO,Brasil,Universidade Federal de Goiás,Goiânia,GO,Brasil
0114608950477525,Goiânia,GO,Brasil,Universidade Federal de Goiás,Goiânia,GO,Brasil
0116792663386170,Canoas,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0124807800316091,Porto Alege,RS,Brasil,Universidade Federal da Bahia,Salvador,BA,Brasil
0127419824935492,Santa Maria,RS,Brasil,Universidade Federal de Santa Maria,Santa Maria,RS,Brasil
0128308087978829,Rio de Janeiro,RJ,Brasil,Universidade Estadual de Campinas,Campinas,SP,Brasil
0129423635403864,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0134821761458628,CURITIBA,PR,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0138378882454566,Santo André,SP,Brasil,Centro Técnico Aeroespacial,São José dos Campos,SP,Brasil
