Grande Área,Área,Quantidade
CIENCIAS_AGRARIAS,Agronomia,179
CIENCIAS_EXATAS_E_DA_TERRA,Química,133
CIENCIAS_EXATAS_E_DA_TERRA,Geociências,121
ENGENHARIAS,Engenharia Elétrica,111
CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação,101
CIENCIAS_SOCIAIS_APLICADAS,Economia,94
ENGENHARIAS,Engenharia de Materiais e Metalúrgica,88
CIENCIAS_EXATAS_E_DA_TERRA,Física,87
ENGENHARIAS,Engenharia Civil,84
ENGENHARIAS,Engenharia Mecânica,69
CIENCIAS_BIOLOGICAS,Zoologia,65
CIENCIAS_BIOLOGICAS,Ecologia,63
CIENCIAS_AGRARIAS,Zootecnia,58
CIENCIAS_AGRARIAS,Ciência e Tecnologia de Alimentos,57
CIENCIAS_BIOLOGICAS,Genética,54
CIENCIAS_BIOLOGICAS,Bioquímica,49
CIENCIAS_BIOLOGICAS,Botânica,48
CIENCIAS_HUMANAS,Educação,48
CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal,45
ENGENHARIAS,Engenharia Química,45
CIENCIAS_EXATAS_E_DA_TERRA,Matemática,42
CIENCIAS_SOCIAIS_APLICADAS,Administração,42
CIENCIAS_DA_SAUDE,Farmácia,40
CIENCIAS_AGRARIAS,Medicina Veterinária,40
CIENCIAS_AGRARIAS,Engenharia Agrícola,35
CIENCIAS_HUMANAS,Psicologia,34
ENGENHARIAS,Engenharia de Produção,34
CIENCIAS_HUMANAS,Sociologia,33
CIENCIAS_HUMANAS,História,30
CIENCIAS_BIOLOGICAS,Microbiologia,28
CIENCIAS_HUMANAS,Antropologia,24
CIENCIAS_HUMANAS,Ciência Política,23
CIENCIAS_BIOLOGICAS,Parasitologia,22
CIENCIAS_EXATAS_E_DA_TERRA,Probabilidade e Estatística,21
CIENCIAS_DA_SAUDE,Saúde Coletiva,21
CIENCIAS_EXATAS_E_DA_TERRA,Oceanografia,19
LINGUISTICA_LETRAS_E_ARTES,Letras,18
ENGENHARIAS,Engenharia Sanitária,18
CIENCIAS_BIOLOGICAS,Farmacologia,18
CIENCIAS_AGRARIAS,Recursos Pesqueiros e Engenharia de Pesca,16
ENGENHARIAS,Engenharia Nuclear,16
ENGENHARIAS,Engenharia Biomédica,16
CIENCIAS_BIOLOGICAS,Imunologia,15
LINGUISTICA_LETRAS_E_ARTES,Lingüística,14
CIENCIAS_SOCIAIS_APLICADAS,Arquitetura e Urbanismo,13
CIENCIAS_BIOLOGICAS,Fisiologia,13
CIENCIAS_SOCIAIS_APLICADAS,Direito,13
LINGUISTICA_LETRAS_E_ARTES,Artes,13
CIENCIAS_HUMANAS,Filosofia,13
CIENCIAS_BIOLOGICAS,Morfologia,12
CIENCIAS_SOCIAIS_APLICADAS,Planejamento Urbano e Regional,11
CIENCIAS_DA_SAUDE,Odontologia,11
CIENCIAS_DA_SAUDE,Medicina,11
CIENCIAS_SOCIAIS_APLICADAS,Comunicação,11
CIENCIAS_DA_SAUDE,Nutrição,9
ENGENHARIAS,Engenharia Aeroespacial,9
CIENCIAS_HUMANAS,Arqueologia,8
CIENCIAS_HUMANAS,Geografia,8
CIENCIAS_DA_SAUDE,Enfermagem,8
CIENCIAS_BIOLOGICAS,Biofísica,7
CIENCIAS_SOCIAIS_APLICADAS,Ciência da Informação,7
OUTROS,Ciências Ambientais,6
ENGENHARIAS,Engenharia de Minas,6
CIENCIAS_BIOLOGICAS,Biologia Geral,5
CIENCIAS_DA_SAUDE,Fisioterapia e Terapia Ocupacional,5
CIENCIAS_EXATAS_E_DA_TERRA,Astronomia,5
ENGENHARIAS,Engenharia de Transportes,5
ENGENHARIAS,Engenharia de Energia,5
CIENCIAS_SOCIAIS_APLICADAS,Serviço Social,4
CIENCIAS_DA_SAUDE,Educação Física,4
CIENCIAS_SOCIAIS_APLICADAS,Demografia,3
ENGENHARIAS,Engenharia Naval e Oceânica,3
OUTROS,Divulgação Científica,2
CIENCIAS_DA_SAUDE,Fonoaudiologia,1
CIENCIAS_SOCIAIS_APLICADAS,Turismo,1
CIENCIAS_SOCIAIS_APLICADAS,Desenho Industrial,1
CIENCIAS_SOCIAIS_APLICADAS,Museologia,1
CIENCIAS_SOCIAIS_APLICADAS,Economia Doméstica,1
OUTROS,Ciências,1
OUTROS,Microeletrônica,1
OUTROS,Multidisciplinar,1
OUTROS,"Robótica, Mecatrônica e Automação",1
