CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Química,1991.0,3.0,Ciências Biológicas,1994.0,14.0,Engenharia Elétrica,2008.0,9.0,Engenharia Mecânica,2005.0,8
Química,1992.0,3.0,Ciências Biológicas,1990.0,13.0,Engenharia Elétrica,1988.0,7.0,Química,2001.0,7
Agropecuária,1997.0,2.0,Ciências Biológicas,1989.0,11.0,Engenharia Química,1995.0,7.0,Química,1997.0,7
Agropecuária,1990.0,2.0,Ciências Biológicas,1985.0,10.0,Engenharia Elétrica,1998.0,6.0,Química,1999.0,6
Eletrônica,2001.0,2.0,Ciências Biológicas,1988.0,10.0,Engenharia Elétrica,1983.0,6.0,Química,2005.0,6
Agropecuária,1987.0,2.0,Ciências Biológicas,1986.0,9.0,Zootecnia,1997.0,6.0,Química,1998.0,6
  Mecânico,1978.0,1.0,Ciências Biológicas,1996.0,9.0,Engenharia Mecânica,2000.0,6.0,Física,2010.0,6
 Agropecuária,1995.0,1.0,Ciências Biológicas,1999.0,9.0,Economia,1997.0,5.0,Química,2000.0,6
 De Formação Dos Servidores Do Igp,2005.0,1.0,Agronomia,1996.0,8.0,Economia,1990.0,5.0,Engenharia Elétrica,1999.0,6
 Agrícola Habilitação Em Agropecuária,1995.0,1.0,Engenharia Elétrica,1980.0,8.0,Química,1991.0,5.0,Engenharia Elétrica,2008.0,6
 Agrícola Com Habilitação Em Agricultura,2000.0,1.0,Engenharia Elétrica,1987.0,8.0,Química,1995.0,5.0,Economia,2010.0,6
 Agrícola,2000.0,1.0,Agronomia,1991.0,7.0,Engenharia Elétrica,1985.0,5.0,Zootecnia,2005.0,6
 Agrícola,1994.0,1.0,Ciências Biológicas,1984.0,7.0,Engenharia Elétrica,1991.0,5.0,Física,2014.0,5
 Agropecuária,1999.0,1.0,Agronomia,1988.0,7.0,Engenharia Civil,1991.0,5.0,Zootecnia,2009.0,5
 Mecânico,1986.0,1.0,Agronomia,1997.0,7.0,Engenharia Civil,2002.0,5.0,Engenharia Elétrica,2009.0,5
 Edificações,1992.0,1.0,Engenharia Química,1992.0,7.0,Química,1994.0,5.0,Engenharia Elétrica,2003.0,5
Agroindústria,2000.0,1.0,Ciências Biológicas,1992.0,7.0,Química,1999.0,5.0,Engenharia Elétrica,2012.0,5
Administração De Empresas,1995.0,1.0,Ciências Biológicas,1995.0,7.0,Química,1992.0,5.0,Engenharia Elétrica,1992.0,5
2o Grau Profissionalizante Em Análises Químicas,1984.0,1.0,Agronomia,2004.0,7.0,Engenharia Elétrica,2002.0,5.0,Administração,2011.0,5
Agropecuária,1986.0,1.0,Química Industrial,1991.0,6.0,Física,1997.0,5.0,Zootecnia,2003.0,5
Agropecuária,1991.0,1.0,Agronomia,1990.0,6.0,Física,2006.0,5.0,Economia,2004.0,5
 Industrial De Nivel Médio - Eletrotécnica,1996.0,1.0,Ciências Biológicas,1987.0,6.0,Zootecnia,2005.0,5.0,Economia,2001.0,5
 Industrial Em Saneamento,1997.0,1.0,Ciências Biológicas,1993.0,6.0,Matemática,1998.0,4.0,Física,1999.0,5
 Mecânica,1974.0,1.0,Agronomia,1975.0,6.0,Engenharia Elétrica,1997.0,4.0,Engenharia Química,1995.0,4
