CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Química,1989.0,3.0,Ciências Biológicas,1986.0,16.0,Engenharia Elétrica,1988.0,7.0,Química,1997.0,7
Agropecuária,1994.0,2.0,Ciências Biológicas,1984.0,12.0,Química,1992.0,6.0,Química,1996.0,7
Química,1988.0,2.0,Agronomia,1992.0,11.0,Engenharia Civil,1989.0,6.0,Química,1991.0,7
Eletrônica,1983.0,2.0,Ciências Biológicas,1990.0,11.0,Engenharia Elétrica,1983.0,6.0,Engenharia Mecânica,2000.0,7
Agropecuária,1988.0,2.0,Ciências Biológicas,1983.0,10.0,Química,1990.0,6.0,Química,1995.0,6
Agropecuária,1985.0,2.0,Ciências Biológicas,1982.0,10.0,Engenharia Elétrica,2002.0,6.0,Física,2000.0,6
Eletrônica,1995.0,2.0,Ciências Biológicas,1991.0,10.0,Engenharia Mecânica,1990.0,6.0,Física,2010.0,6
  Mecânico,1974.0,1.0,Ciências Biológicas,1985.0,9.0,Engenharia Química,1992.0,6.0,Zootecnia,2002.0,6
 De Formação Dos Servidores Do Igp,2005.0,1.0,Ciências Biológicas,1993.0,9.0,Física,1983.0,5.0,Engenharia Mecânica,1996.0,6
 Agrícola Habilitação Em Agropecuária,1993.0,1.0,Engenharia Elétrica,1982.0,8.0,Engenharia Civil,2002.0,5.0,Engenharia Elétrica,1995.0,6
 Agrícola Com Habilitação Em Agricultura,1997.0,1.0,Engenharia Elétrica,1976.0,8.0,Economia,2003.0,5.0,Engenharia Elétrica,1999.0,6
 Agrícola,1998.0,1.0,Agronomia,1972.0,8.0,Engenharia Elétrica,2006.0,5.0,Engenharia Elétrica,2006.0,5
 Agrícola,1990.0,1.0,Ciências Biológicas,1995.0,8.0,Física,1999.0,5.0,Engenharia Elétrica,2008.0,5
 Agropecuária,1997.0,1.0,Agronomia,1999.0,8.0,Engenharia Elétrica,1980.0,5.0,Engenharia Civil,1992.0,5
 Agropecuária,1993.0,1.0,Engenharia Elétrica,1983.0,8.0,Engenharia Elétrica,1999.0,5.0,Agronomia (fitotecnia),1999.0,5
 Mecânico,1984.0,1.0,Ciências Biológicas,1979.0,8.0,Engenharia Elétrica,1994.0,5.0,Economia,1997.0,5
Agroindústria,1998.0,1.0,Agronomia,1984.0,7.0,Engenharia Mecânica,1992.0,5.0,Química,2007.0,5
