Cidade de Origem,Estado de Origem,Quantidade
Rio de Janeiro,RJ,308
São Paulo,SP,145
Porto Alegre,RS,113
Belo Horizonte,MG,90
Recife,PE,63
Fortaleza,CE,57
Curitiba,PR,40
Belém,PA,35
Santa Maria,RS,27
Salvador,BA,26
Pelotas,RS,23
Niterói,RJ,21
Viçosa,MG,18
João Pessoa,PB,18
Goiânia,GO,17
Campinas,SP,16
Maringá,PR,16
Campina Grande,PB,15
Lavras,MG,15
RIO DE JANEIRO,RJ,15
Brasília,DF,15
Juiz de Fora,MG,14
Natal,RN,14
Florianópolis,SC,11
Santos,SP,11
Vitória,ES,10
Montes Claros,MG,10
Ribeirão Preto,SP,10
Rio Claro,SP,9
São Carlos,SP,9
Araraquara,SP,9
Piracicaba,SP,9
Sao Paulo,SP,9
Uberlândia,MG,9
São José do Rio Preto,SP,9
Maceió,AL,8
PORTO ALEGRE,RS,8
FORTALEZA,CE,8
RECIFE,PE,8
Manaus,AM,7
Santa Cruz do Sul,RS,7
Aracaju,SE,6
Mossoró,RN,6
Bagé,RS,6
Petrópolis,RJ,6
Cascavel,PR,6
Presidente Prudente,SP,6
Campo Grande,MS,6
Teresina,PI,6
Erechim,RS,6
Cruz Alta,RS,6
Ponta Grossa,PR,5
Caxias do Sul,RS,5
João Monlevade,MG,5
Rio Grande,RS,5
Passo Fundo,RS,5
Alegre,ES,5
Palmeira das Missões,RS,5
Poços de Caldas,MG,5
Uberaba,MG,5
Lajeado,RS,4
Bento Gonçalves,RS,4
Castelo,ES,4
Cachoeiro de Itapemirim,ES,4
Ipatinga,MG,4
Marília,SP,4
Mogi Mirim,SP,4
Ouro Preto,MG,4
São José dos Campos,SP,4
Santo André,SP,4
Pará de Minas,MG,4
Joinville,SC,4
São Bernardo do Campo,SP,4
São Caetano do Sul,SP,4
Volta Redonda,RJ,4
Bauru,SP,4
Franca,SP,4
Anápolis,GO,4
Colatina,ES,4
Umuarama,PR,4
Uruguaiana,RS,4
Varginha,MG,4
Venâncio Aires,RS,4
Carangola,MG,4
Londrina,PR,4
João Neiva,ES,3
Araguari,MG,3
Cajazeiras,PB,3
Canoas,RS,3
Canela,RS,3
Resende,RJ,3
Restinga Seca,RS,3
Ribeirao Preto,SP,3
Governador Valadares,MG,3
Lins,SP,3
Campos dos Goytacazes,RJ,3
Rio Negro,PR,3
Campos,RJ,3
Bambuí,MG,3
Currais Novos,RN,3
Salgueiro,PE,3
Guarulhos,SP,3
Barbacena,MG,3
Abaetetuba,PA,3
Santiago,RS,3
Botucatu,SP,3
Corumbá,MS,3
Nova Prata,RS,3
Sertãozinho,SP,3
Sete Lagoas,MG,3
Sousa,PB,3
Novo Hamburgo,RS,3
São Borja,RS,3
Manhuaçu,MG,3
São Gonçalo,RJ,3
Ijuí,RS,3
São João del Rei,MG,3
São Luis,MA,3
São Luís,MA,3
Estrela,RS,3
Taquara,RS,3
Paranavaí,PR,3
Timóteo,MG,3
Concórdia,SC,3
Patos,PB,3
Blumenau,SC,3
Itapeva,SP,3
BELO HORIZONTE,MG,3
Carazinho,RS,3
Araras,SP,3
Pouso Alegre,MG,3
SALVADOR,BA,3
Canguçu,RS,2
Elias Fausto,SP,2
