Grande Área,Área,Quantidade
CIENCIAS_EXATAS_E_DA_TERRA,Física,1036
CIENCIAS_EXATAS_E_DA_TERRA,Química,857
CIENCIAS_AGRARIAS,Agronomia,670
CIENCIAS_DA_SAUDE,Medicina,648
CIENCIAS_EXATAS_E_DA_TERRA,Geociências,464
CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação,447
CIENCIAS_BIOLOGICAS,Bioquímica,441
CIENCIAS_HUMANAS,Educação,412
ENGENHARIAS,Engenharia Elétrica,402
CIENCIAS_EXATAS_E_DA_TERRA,Matemática,355
CIENCIAS_BIOLOGICAS,Genética,347
CIENCIAS_HUMANAS,Psicologia,334
ENGENHARIAS,Engenharia de Materiais e Metalúrgica,309
CIENCIAS_HUMANAS,História,303
ENGENHARIAS,Engenharia Civil,293
ENGENHARIAS,Engenharia Mecânica,283
LINGUISTICA_LETRAS_E_ARTES,Letras,271
CIENCIAS_BIOLOGICAS,Ecologia,271
CIENCIAS_AGRARIAS,Medicina Veterinária,259
CIENCIAS_SOCIAIS_APLICADAS,Economia,253
CIENCIAS_DA_SAUDE,Saúde Coletiva,245
CIENCIAS_AGRARIAS,Zootecnia,242
CIENCIAS_BIOLOGICAS,Zoologia,238
CIENCIAS_HUMANAS,Sociologia,232
CIENCIAS_BIOLOGICAS,Fisiologia,231
LINGUISTICA_LETRAS_E_ARTES,Lingüística,228
CIENCIAS_DA_SAUDE,Odontologia,224
CIENCIAS_SOCIAIS_APLICADAS,Administração,221
CIENCIAS_BIOLOGICAS,Microbiologia,219
CIENCIAS_AGRARIAS,Ciência e Tecnologia de Alimentos,211
CIENCIAS_BIOLOGICAS,Farmacologia,206
CIENCIAS_BIOLOGICAS,Imunologia,204
CIENCIAS_HUMANAS,Antropologia,201
ENGENHARIAS,Engenharia Química,190
CIENCIAS_BIOLOGICAS,Botânica,190
CIENCIAS_DA_SAUDE,Farmácia,185
CIENCIAS_HUMANAS,Filosofia,177
CIENCIAS_HUMANAS,Ciência Política,174
ENGENHARIAS,Engenharia de Produção,163
CIENCIAS_DA_SAUDE,Enfermagem,157
CIENCIAS_SOCIAIS_APLICADAS,Comunicação,148
CIENCIAS_BIOLOGICAS,Morfologia,129
CIENCIAS_BIOLOGICAS,Parasitologia,127
LINGUISTICA_LETRAS_E_ARTES,Artes,124
CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal,122
CIENCIAS_SOCIAIS_APLICADAS,Arquitetura e Urbanismo,121
CIENCIAS_HUMANAS,Geografia,120
CIENCIAS_EXATAS_E_DA_TERRA,Astronomia,111
CIENCIAS_AGRARIAS,Engenharia Agrícola,105
ENGENHARIAS,Engenharia Sanitária,97
CIENCIAS_EXATAS_E_DA_TERRA,Oceanografia,94
CIENCIAS_EXATAS_E_DA_TERRA,Probabilidade e Estatística,93
CIENCIAS_SOCIAIS_APLICADAS,Direito,89
CIENCIAS_DA_SAUDE,Educação Física,87
CIENCIAS_DA_SAUDE,Nutrição,85
CIENCIAS_BIOLOGICAS,Biofísica,78
CIENCIAS_DA_SAUDE,Fisioterapia e Terapia Ocupacional,77
CIENCIAS_SOCIAIS_APLICADAS,Serviço Social,76
ENGENHARIAS,Engenharia Biomédica,75
CIENCIAS_SOCIAIS_APLICADAS,Planejamento Urbano e Regional,67
CIENCIAS_SOCIAIS_APLICADAS,Ciência da Informação,64
CIENCIAS_BIOLOGICAS,Biologia Geral,57
CIENCIAS_AGRARIAS,Recursos Pesqueiros e Engenharia de Pesca,54
CIENCIAS_DA_SAUDE,Fonoaudiologia,45
ENGENHARIAS,Engenharia Nuclear,45
CIENCIAS_HUMANAS,Arqueologia,42
ENGENHARIAS,Engenharia de Transportes,40
ENGENHARIAS,Engenharia Aeroespacial,39
CIENCIAS_SOCIAIS_APLICADAS,Demografia,33
OUTROS,Ciências Ambientais,23
CIENCIAS_BIOLOGICAS,Biotecnologia,18
CIENCIAS_SOCIAIS_APLICADAS,Desenho Industrial,18
ENGENHARIAS,Engenharia de Energia,15
ENGENHARIAS,Engenharia Naval e Oceânica,14
ENGENHARIAS,Engenharia de Minas,14
CIENCIAS_HUMANAS,Teologia,11
CIENCIAS_SOCIAIS_APLICADAS,Turismo,10
CIENCIAS_SOCIAIS_APLICADAS,Museologia,7
OUTROS,Divulgação Científica,6
CIENCIAS_SOCIAIS_APLICADAS,Economia Doméstica,3
OUTROS,Microeletrônica,3
OUTROS,Ciências,3
OUTROS,"Robótica, Mecatrônica e Automação",3
OUTROS,Bioética,1
OUTROS,Ciências Sociais,1
OUTROS,Defesa,1
OUTROS,Multidisciplinar,1
OUTROS,Nanotecnologia e Novos Materiais,1
OUTROS,Relações Internacionais,1
OUTROS,Tecnologia da Informação e Comunicação,1
