CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Agropecuária,1990.0,6.0,Ciências Biológicas,1994.0,57.0,Física,2006.0,37.0,Física,2001.0,37
Química,1992.0,6.0,Ciências Biológicas,2000.0,48.0,Física,1997.0,34.0,Física,2004.0,37
Química,1991.0,6.0,Ciências Biológicas,1989.0,47.0,Física,2005.0,33.0,Física,1999.0,36
Agropecuária,1997.0,5.0,Ciências Biológicas,1990.0,44.0,Física,2007.0,32.0,Química,2003.0,35
Eletrônica,1989.0,4.0,Ciências Biológicas,1988.0,41.0,Física,1998.0,32.0,Física,2009.0,35
Agropecuária,1987.0,4.0,Ciências Biológicas,2003.0,41.0,Física,2004.0,29.0,Física,2010.0,34
Eletrônica,1999.0,4.0,Medicina,1984.0,41.0,Física,1995.0,28.0,Química,2005.0,33
Processamento De Dados,1992.0,4.0,Ciências Biológicas,1999.0,39.0,Física,1994.0,28.0,Física,2011.0,33
Química,1995.0,4.0,Ciências Biológicas,1997.0,37.0,Física,2000.0,28.0,Física,2003.0,33
Química,1998.0,4.0,Ciências Biológicas,2002.0,37.0,Física,2003.0,27.0,Física,2008.0,32
Eletrônica,1988.0,3.0,Medicina,1976.0,36.0,Física,1986.0,25.0,Química,2001.0,31
Contabilidade,1992.0,3.0,Ciências Biológicas,1992.0,36.0,Física,1987.0,25.0,Física,2006.0,29
Eletrônica,2001.0,3.0,Física,2003.0,35.0,Física,2009.0,25.0,Física,1995.0,29
Eletrônica,1994.0,3.0,Medicina,1981.0,35.0,Química,1996.0,24.0,Física,2005.0,29
Agropecuária,1989.0,3.0,Ciências Biológicas,1996.0,35.0,Física,2002.0,24.0,Química,2009.0,27
Eletrônica,1985.0,3.0,Ciências Biológicas,1987.0,35.0,Física,1988.0,24.0,Química,1997.0,26
Eletrotécnica,1985.0,3.0,Agronomia,1990.0,34.0,Física,1991.0,24.0,Física,2012.0,25
Agropecuária,1992.0,3.0,Ciências Biológicas,1986.0,34.0,Química,1999.0,24.0,Física,2007.0,25
Biotecnologia,1992.0,3.0,Física,1985.0,33.0,Educação,1995.0,23.0,Educação,2001.0,25
Eletromecânica,2000.0,3.0,Ciências Biológicas,2005.0,33.0,Física,1984.0,23.0,Química,2008.0,25
Agropecuária,1994.0,3.0,Física,2005.0,32.0,Física,1996.0,22.0,Educação,2008.0,25
Química,1985.0,3.0,Medicina,1983.0,31.0,Física,2001.0,22.0,Química,2002.0,24
Processamento De Dados,1997.0,3.0,Ciências Biológicas,1983.0,31.0,Química,2000.0,22.0,Física,2000.0,24
Química,1984.0,3.0,Ciências Biológicas,1995.0,31.0,Química,2001.0,22.0,Física,1992.0,24
Química,1993.0,3.0,Ciências Biológicas,1985.0,30.0,Química,1998.0,22.0,Física,1993.0,24
Química,1996.0,3.0,Física,1996.0,30.0,Educação,2000.0,22.0,Química,2004.0,24
Eletrônica,1996.0,2.0,Medicina,1985.0,30.0,Química,1995.0,21.0,Química,1999.0,23
Agropecuária,1979.0,2.0,Medicina,1982.0,29.0,Física,1990.0,21.0,Física,2002.0,23
Bioquímica,1987.0,2.0,Física,2004.0,29.0,Física,1989.0,21.0,Química,2000.0,23
Edificações,1992.0,2.0,Ciências Biológicas,1991.0,29.0,Física,2008.0,21.0,Física,1991.0,23
Eletrônica,2003.0,2.0,Ciências Biológicas,2004.0,29.0,Engenharia Elétrica,1991.0,21.0,Engenharia Elétrica,2008.0,23
Agropecuária,1986.0,2.0,Ciências Biológicas,1984.0,28.0,Química,2005.0,21.0,Física,1998.0,22
Agropecuária,1988.0,2.0,Medicina,1979.0,28.0,Física,1999.0,20.0,Física,1994.0,21
Agropecuária,1991.0,2.0,Física,2001.0,28.0,Física,1993.0,20.0,Engenharia Elétrica,2010.0,21
Edificações,1998.0,2.0,Medicina,1977.0,27.0,Engenharia Elétrica,2001.0,20.0,Engenharia Elétrica,2006.0,21
Agropecuária,1996.0,2.0,Medicina,1987.0,27.0,Educação,1996.0,20.0,Química,1998.0,21
Agropecuária,1999.0,2.0,Física,2006.0,27.0,Educação,1994.0,20.0,Engenharia Elétrica,2005.0,20
Agropecuária,2001.0,2.0,Ciências Biológicas,1993.0,27.0,Engenharia Mecânica,1991.0,19.0,Educação,2005.0,20
Agropecuária,2002.0,2.0,Ciências Biológicas,1998.0,26.0,Engenharia Elétrica,2004.0,18.0,Educação,2000.0,20
Eletrotécnica,1986.0,2.0,Medicina,1990.0,26.0,Engenharia Elétrica,1998.0,18.0,Química,2007.0,20
Eletrônica,1998.0,2.0,Medicina,1991.0,26.0,Educação,1997.0,18.0,Engenharia Elétrica,2003.0,19
Eletrotécnica,1993.0,2.0,Agronomia,2004.0,26.0,Química,1997.0,18.0,Zootecnia,2007.0,19
Contabilidade,1977.0,2.0,Física,1997.0,25.0,Engenharia Mecânica,1993.0,18.0,Química,2006.0,19
Eletrônica,1983.0,2.0,Medicina,1986.0,25.0,Engenharia Elétrica,1993.0,17.0,Engenharia Mecânica,2002.0,19
Informática,2001.0,2.0,Ciências Biológicas,2006.0,25.0,Física,1978.0,17.0,Física,2013.0,19
Informática Industrial,1997.0,2.0,Ciências Biológicas,2001.0,24.0,Química,1994.0,17.0,Física,1996.0,19
Informática Industrial,1999.0,2.0,Medicina,1989.0,24.0,Engenharia Mecânica,1990.0,17.0,Química,2010.0,18
Leite E Derivados,2002.0,2.0,Engenharia Elétrica,1987.0,24.0,Química,1992.0,17.0,História,2001.0,18
Magistério,1985.0,2.0,Agronomia,1995.0,24.0,Química,1991.0,17.0,Educação,2003.0,17
Magistério,2002.0,2.0,Física,1994.0,23.0,Engenharia Elétrica,2008.0,16.0,Física,1987.0,17
Mecânica,1980.0,2.0,Medicina,1988.0,23.0,Química,1993.0,16.0,Física,1990.0,17
Mecânica,1991.0,2.0,Física,1987.0,23.0,Engenharia Elétrica,2006.0,16.0,Química,1995.0,17
Mecânica,1994.0,2.0,Física,1992.0,23.0,Educação,1991.0,16.0,História,2002.0,17
Mecânica,2000.0,2.0,Ciências Biológicas,1981.0,23.0,Educação,1998.0,15.0,Engenharia Elétrica,2013.0,17
Patologia Clínica,1983.0,2.0,Agronomia,1987.0,23.0,Química,1988.0,15.0,Física,2014.0,17
Contabilidade,1994.0,2.0,Agronomia,1994.0,22.0,Engenharia Elétrica,1999.0,15.0,Física,1997.0,16
Processamento De Dados,1991.0,2.0,Física,1991.0,22.0,História,1994.0,15.0,Engenharia Elétrica,2000.0,16
Contabilidade,1995.0,2.0,Agronomia,1988.0,22.0,Engenharia Elétrica,1994.0,15.0,Matemática,2011.0,16
Processamento De Dados,1994.0,2.0,Física,1986.0,22.0,Química,1989.0,15.0,Zootecnia,2001.0,16
Contabilidade,1997.0,2.0,Agronomia,1991.0,22.0,Física,1983.0,15.0,Química,1994.0,15
Eletrônica,1986.0,2.0,Engenharia Civil,1985.0,21.0,Química,2002.0,15.0,Educação,1999.0,15
Processamento De Dados,1998.0,2.0,Física,1973.0,21.0,Química,2004.0,14.0,Matemática,2015.0,15
Processamento De Dados,1999.0,2.0,Química,1997.0,21.0,História,1995.0,14.0,Engenharia De Produção,2002.0,15
Quimica,1992.0,2.0,Física,2000.0,21.0,Filosofia,1996.0,14.0,Engenharia Elétrica,2009.0,15
Quimica,2001.0,2.0,Agronomia,1992.0,21.0,Engenharia Elétrica,1989.0,14.0,Educação,2004.0,14
Química,1981.0,2.0,Farmácia,2003.0,20.0,Engenharia Elétrica,1992.0,14.0,Matemática,2014.0,14
Química,1982.0,2.0,Medicina,1978.0,20.0,Física,1992.0,14.0,Engenharia Elétrica,1997.0,14
Eletrônica E Telecomunicações,2000.0,2.0,Agronomia,2002.0,20.0,Química,2003.0,14.0,Química,2013.0,14
Processamento De Dados,1996.0,2.0,Ciências Sociais,1996.0,20.0,Química,2007.0,14.0,Química,1993.0,14
Química,1986.0,2.0,Medicina,1972.0,20.0,Educação,1993.0,14.0,Filosofia,1996.0,14
Química,1987.0,2.0,Química,1995.0,20.0,Engenharia Mecânica,1997.0,13.0,Educação,2002.0,14
Química,1990.0,2.0,Física,1984.0,20.0,Física,1982.0,13.0,Engenharia Mecânica,2001.0,14
Contabilidade,1985.0,2.0,Química,1998.0,20.0,Física,1981.0,13.0,Engenharia Elétrica,1998.0,14
Magistério,1986.0,2.0,Medicina,1996.0,20.0,Física,1977.0,13.0,Química,2011.0,14
Eletrônica,1991.0,2.0,Odontologia,1995.0,19.0,Engenharia Elétrica,1997.0,13.0,Física,1988.0,13
Eletrônica,1992.0,2.0,Física,1995.0,19.0,Engenharia Elétrica,2005.0,13.0,Física,1989.0,13
Edificações,1984.0,2.0,Ciências Biológicas,2007.0,19.0,Filosofia,1994.0,13.0,Engenharia De Produção,2003.0,13
