CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Química,1989.0,7.0,Ciências Biológicas,1986.0,47.0,Física,2003.0,36.0,Física,2004.0,38
Agropecuária,1988.0,6.0,Medicina,1979.0,46.0,Física,1996.0,35.0,Física,2000.0,36
Química,1988.0,5.0,Ciências Biológicas,1994.0,43.0,Física,2005.0,35.0,Física,2005.0,36
Agropecuária,1995.0,4.0,Ciências Biológicas,1983.0,42.0,Física,1992.0,30.0,Física,1999.0,33
Eletrônica,1983.0,4.0,Ciências Biológicas,1990.0,41.0,Física,2004.0,30.0,Física,1988.0,32
Agropecuária,1989.0,4.0,Ciências Biológicas,1987.0,41.0,Física,2001.0,29.0,Química,1996.0,31
Eletrônica,1996.0,4.0,Ciências Biológicas,1985.0,41.0,Física,2002.0,28.0,Física,1997.0,31
Química,1983.0,4.0,Ciências Biológicas,1984.0,41.0,Química,1997.0,28.0,Química,2001.0,31
Química,1990.0,4.0,Ciências Biológicas,1991.0,40.0,Física,2006.0,26.0,Física,2006.0,30
Química,1992.0,4.0,Ciências Biológicas,1999.0,38.0,Física,1985.0,26.0,Física,2007.0,29
Agropecuária,1985.0,3.0,Física,2000.0,38.0,Física,1995.0,25.0,Física,1998.0,29
Eletrônica,1997.0,3.0,Ciências Biológicas,1998.0,37.0,Física,1994.0,25.0,Física,1995.0,29
Eletrotécnica,1991.0,3.0,Ciências Biológicas,1993.0,37.0,Física,1987.0,25.0,Química,1999.0,28
Agropecuária,1987.0,3.0,Ciências Biológicas,1997.0,36.0,Física,1999.0,25.0,Física,2002.0,28
Eletrônica,1985.0,3.0,Ciências Biológicas,1996.0,35.0,Física,1984.0,24.0,Física,2001.0,28
Contabilidade,1992.0,3.0,Medicina,1976.0,34.0,Física,2007.0,24.0,Química,1995.0,27
Agropecuária,1992.0,3.0,Ciências Biológicas,2000.0,34.0,Física,1998.0,23.0,Química,1998.0,27
Eletrônica,1995.0,3.0,Ciências Biológicas,1989.0,33.0,Física,1993.0,23.0,Física,1996.0,25
Agropecuária,1994.0,3.0,Ciências Biológicas,1982.0,33.0,Física,1976.0,23.0,Física,2009.0,25
Informática Industrial,1999.0,3.0,Ciências Biológicas,1980.0,33.0,Engenharia Elétrica,1988.0,23.0,Química,2000.0,25
Mecânica,1978.0,3.0,Ciências Biológicas,1992.0,32.0,Física,1982.0,22.0,Química,2003.0,25
Mecânica,1988.0,3.0,Ciências Biológicas,1981.0,30.0,Química,1999.0,22.0,Engenharia Elétrica,2004.0,24
Processamento De Dados,1989.0,3.0,Medicina,1977.0,30.0,Educação,1993.0,22.0,Química,1997.0,24
Processamento De Dados,1992.0,3.0,Física,2001.0,29.0,Física,1988.0,22.0,Física,1991.0,23
Processamento De Dados,1997.0,3.0,Agronomia,1985.0,29.0,Química,1990.0,21.0,Física,1993.0,23
Edificações,1996.0,2.0,Medicina,1980.0,29.0,Física,1997.0,21.0,Química,2005.0,23
Edificações,1999.0,2.0,Agronomia,1984.0,29.0,Química,1991.0,20.0,Física,2008.0,23
Eletrônica,1991.0,2.0,Ciências Biológicas,1995.0,29.0,Química,1998.0,20.0,Física,2003.0,23
Contabilidade,1990.0,2.0,Ciências Biológicas,2003.0,29.0,Física,1991.0,19.0,Física,1987.0,22
Contabilidade,1993.0,2.0,Medicina,1972.0,29.0,Engenharia Elétrica,1990.0,19.0,Física,1994.0,22
Agropecuária,1977.0,2.0,Ciências Biológicas,2001.0,29.0,Física,2000.0,19.0,Química,2004.0,22
Eletrotécnica,1982.0,2.0,Medicina,1978.0,29.0,Física,1990.0,19.0,Física,1986.0,22
Agropecuária,1982.0,2.0,Medicina,1971.0,29.0,Química,1995.0,19.0,Educação,1997.0,20
Eletrotécnica,1983.0,2.0,Agronomia,1987.0,28.0,Engenharia Elétrica,1999.0,19.0,Química,2002.0,20
Agropecuária,1984.0,2.0,Medicina,1983.0,27.0,Educação,1992.0,19.0,Engenharia Elétrica,2001.0,19
Agropecuária,1986.0,2.0,Agronomia,1986.0,27.0,Química,1996.0,19.0,Química,1992.0,19
Eletrônica,2000.0,2.0,Medicina,1974.0,27.0,Educação,1997.0,18.0,Educação,2004.0,19
