Cidade de Origem,Estado de Origem,Quantidade
Rio de Janeiro,RJ,1524
São Paulo,SP,1481
Porto Alegre,RS,601
Belo Horizonte,MG,529
Recife,PE,345
Fortaleza,CE,292
Curitiba,PR,202
Ribeirão Preto,SP,186
Campinas,SP,185
Salvador,BA,168
Belém,PA,143
Sao Paulo,SP,128
Pelotas,RS,124
São Carlos,SP,114
Niterói,RJ,113
Brasília,DF,111
Santa Maria,RS,108
Goiânia,GO,104
Piracicaba,SP,97
Santos,SP,97
Natal,RN,86
Juiz de Fora,MG,82
Botucatu,SP,77
Araraquara,SP,76
São José do Rio Preto,SP,76
Campina Grande,PB,73
Florianópolis,SC,73
Maringá,PR,72
João Pessoa,PB,68
Bauru,SP,63
Londrina,PR,61
RIO DE JANEIRO,RJ,58
Maceió,AL,56
Lavras,MG,56
Vitória,ES,55
Rio Claro,SP,53
Uberlândia,MG,51
Caxias do Sul,RS,51
Rio Grande,RS,47
Viçosa,MG,46
Santo André,SP,42
Presidente Prudente,SP,41
Sorocaba,SP,38
São José dos Campos,SP,37
Franca,SP,36
Aracaju,SE,34
Ponta Grossa,PR,33
São Caetano do Sul,SP,32
Uberaba,MG,31
Montes Claros,MG,31
Manaus,AM,30
BELO HORIZONTE,MG,30
Marília,SP,30
SÃO PAULO,SP,29
Teresina,PI,29
RECIFE,PE,28
Santa Cruz do Sul,RS,27
Jaboticabal,SP,27
Passo Fundo,RS,27
FORTALEZA,CE,26
Erechim,RS,26
Blumenau,SC,25
São Luís,MA,25
Campo Grande,MS,25
Petrópolis,RJ,24
Cruz Alta,RS,24
Brasilia,DF,24
Jundiaí,SP,24
Araçatuba,SP,23
PORTO ALEGRE,RS,23
Colatina,ES,22
Jaú,SP,22
Araguari,MG,22
Governador Valadares,MG,22
Limeira,SP,22
Volta Redonda,RJ,21
Bagé,RS,21
Divinópolis,MG,21
Joinville,SC,21
Cachoeira do Sul,RS,20
Ipatinga,MG,20
Araras,SP,20
Lages,SC,20
Catanduva,SP,20
Guarulhos,SP,20
Cuiabá,MT,20
Barretos,SP,20
Ijuí,RS,19
São Gonçalo,RJ,19
Bento Gonçalves,RS,18
Campos dos Goytacazes,RJ,18
Anápolis,GO,18
Lajeado,RS,17
Santo Ângelo,RS,17
São Bernardo do Campo,SP,17
Uruguaiana,RS,16
Pirassununga,SP,16
Cachoeiro de Itapemirim,ES,16
Resende,RJ,16
Poços de Caldas,MG,16
Novo Hamburgo,RS,16
Niteroi,RJ,16
Alegre,ES,16
Olinda,PE,16
Cascavel,PR,16
Mogi das Cruzes,SP,16
Varginha,MG,15
Sertãozinho,SP,14
Itajubá,MG,14
Osasco,SP,14
Rio de janeiro,RJ,14
Barbacena,MG,14
Batatais,SP,14
Caruaru,PE,14
Alegrete,RS,14
Nova Friburgo,RJ,14
Ponte Nova,MG,14
Criciúma,SC,14
Ituiutaba,MG,14
SAO PAULO,SP,14
Mossoró,RN,14
Santa Rosa,RS,14
Americana,SP,13
Umuarama,PR,13
SALVADOR,BA,13
Bragança Paulista,SP,13
Assis,SP,13
CURITIBA,PR,13
CAMPINAS,SP,13
São Leopoldo,RS,13
Ubá,MG,12
Passos,MG,12
Santarém,PA,12
Mogi Mirim,SP,12
Belem,PA,12
Taubaté,SP,12
João Monlevade,MG,12
Alfenas,MG,11
Joaçaba,SC,11
Patos de Minas,MG,11
Duque de Caxias,RJ,11
Estrela,RS,11
Patos,PB,11
Paraguaçu Paulista,SP,11
Taquara,RS,11
Juazeiro do Norte,CE,11
Coronel Fabriciano,MG,11
Concórdia,SC,11
Atibaia,SP,11
Tupã,SP,11
Carazinho,RS,11
Rio do Sul,SC,11
Apucarana,PR,11
Itapira,SP,11
Santiago,RS,11
Toledo,PR,11
Três Rios,RJ,11
Itapetininga,SP,10
Bambuí,MG,10
Pará de Minas,MG,10
Feira de Santana,BA,10
Sousa,PB,10
Sete Lagoas,MG,10
Itapeva,SP,10
Nova Iguaçu,RJ,10
Teófilo Otoni,MG,10
São João del Rei,MG,10
Pouso Alegre,MG,10
Corumbá,MS,10
Visconde do Rio Branco,MG,10
Caratinga,MG,10
Itabuna,BA,10
Vacaria,RS,10
Contagem,MG,10
Jales,SP,10
Penápolis,SP,10
Vitória da Conquista,BA,10
Adamantina,SP,10
Espírito Santo do Pinhal,SP,10
Venâncio Aires,RS,10
Taquaritinga,SP,10
Fernandópolis,SP,9
PIRACICABA,SP,9
Iguatu,CE,9
Olímpia,SP,9
Ribeirao Preto,SP,9
Castelo,ES,9
São Borja,RS,9
Ouro Preto,MG,9
Foz do Iguaçu,PR,9
Cajazeiras,PB,9
Cambé,PR,9
BELÉM,PA,9
Jequié,BA,9
Garibaldi,RS,9
Garanhuns,PE,9
Marialva,PR,9
Conselheiro Lafaiete,MG,9
Itápolis,SP,9
Lins,SP,9
Bebedouro,SP,9
Lorena,SP,9
Farroupilha,RS,8
Paranavaí,PR,8
São Luiz Gonzaga,RS,8
São Luis,MA,8
SANTA MARIA,RS,8
Chapecó,SC,8
Joao Pessoa,PB,8
São Pedro do Sul,RS,8
NATAL,RN,8
Três Passos,RS,8
JUIZ DE FORA,MG,8
Canoas,RS,8
Ibitinga,SP,8
Caçador,SC,8
Ilhéus,BA,8
Montenegro,RS,8
Santa Rita do Passa Quatro,SP,8
Campos,RJ,8
Nova Palma,RS,8
Três Lagoas,MS,8
Leme,SP,8
Valinhos,SP,8
Matão,SP,8
Cruzeiro,SP,8
Bariri,SP,8
Goiania,GO,8
Garça,SP,8
Itabirito,MG,8
Medianeira,PR,8
Encantado,RS,7
Andradas,MG,7
Itatiba,SP,7
Arcoverde,PE,7
São Bento do Sul,SC,7
Piraju,SP,7
Campo Belo,MG,7
Nova Prata,RS,7
Caçapava,SP,7
Andradina,SP,7
Itabaiana,SE,7
Mandaguari,PR,7
Itabira,MG,7
Itapiranga,SC,7
Júlio de Castilhos,RS,7
Descalvado,SP,7
Rio Negro,PR,7
São José do Rio Pardo,SP,7
Valença,RJ,7
Frederico Westphalen,RS,7
RIBEIRÃO PRETO,SP,7
Palmeira das Missões,RS,7
Birigui,SP,7
São João da Boa Vista,SP,7
Rancharia,SP,7
Tubarão,SC,7
Arapongas,PR,7
Cianorte,PR,7
Santana do Livramento,RS,7
Capivari,SP,7
Florianopolis,SC,6
São Vicente,SP,6
Bom Jesus,RS,6
Porto Ferreira,SP,6
Piumhi,MG,6
Faxinal do Soturno,RS,6
Votuporanga,SP,6
Veranópolis,RS,6
Dom Pedrito,RS,6
Amparo,SP,6
Diamantina,MG,6
Panambi,RS,6
Currais Novos,RN,6
Brusque,SC,6
Crato,CE,6
Itajaí,SC,6
Tuparendi,RS,6
CAMPINA GRANDE,PB,6
São Gabriel,RS,6
Guararapes,SP,6
CAXIAS DO SUL,RS,6
Casa Branca,SP,6
Guaratinguetá,SP,6
Uberlandia,MG,6
Itapetinga,BA,6
Cerro Largo,RS,6
Barra Mansa,RJ,6
Barra do Piraí,RJ,6
Rosário do Sul,RS,6
Lambari,MG,6
Três de Maio,RS,6
Monte Aprazível,SP,6
Araranguá,SC,6
Guaxupé,MG,6
Campo Mourão,PR,6
Canguçu,RS,6
Mauá,SP,6
Tucunduva,RS,6
Mirassol,SP,6
Caicó,RN,6
Santo Andre,SP,6
Petrolina,PE,6
Monte Alto,SP,6
Bacabal,MA,6
Araxá,MG,6
Jacarezinho,PR,6
JOÃO PESSOA,PB,6
Altinópolis,SP,6
Vitoria,ES,6
Pindamonhangaba,SP,5
Terra Boa,PR,5
Aratiba,RS,5
ARARAS,SP,5
Dracena,SP,5
Parapuã,SP,5
Ituverava,SP,5
Bom Jesus do Itabapoana,RJ,5
Potirendaba,SP,5
RIO CLARO,SP,5
Manhumirim,MG,5
Avaré,SP,5
Pratápolis,MG,5
Cruzília,MG,5
Francisco Beltrão,PR,5
São Lourenço,MG,5
São João de Meriti,RJ,5
Martins,RN,5
Martinópolis,SP,5
Guaporé,RS,5
Rio Pardo,RS,5
Tupi Paulista,SP,5
Soledade,RS,5
Mariana,MG,5
Itaperuna,RJ,5
Arvorezinha,RS,5
Assis Chateaubriand,PR,5
Rio Branco,AC,5
Getúlio Vargas,RS,5
Guariba,SP,5
Ourinhos,SP,5
Rio Pomba,MG,5
Rio Verde,GO,5
Rolândia,PR,5
Ilha Solteira,SP,5
Timbaúba,PE,5
Timóteo,MG,5
Jacareí,SP,5
Sapucaia do Sul,RS,5
Camaquã,RS,5
Santo Anastácio,SP,5
Imperatriz,MA,5
Osvaldo Cruz,SP,5
Cataguases,MG,5
Guarapuava,PR,5
Três Corações,MG,5
Canela,RS,5
Sâo Paulo,SP,5
Serra Negra,SP,5
Neves Paulista,SP,5
Nilópolis,RJ,5
Carangola,MG,5
Muriaé,MG,5
Jardinópolis,SP,5
Além Paraíba,MG,5
São Roque,SP,5
São Sebastião do Paraíso,MG,5
São Sepé,RS,5
Tatuí,SP,5
rio de janeiro,RJ,5
Jaboatão dos Guararapes,PE,5
Espirito Santo do Pinhal,SP,4
Pedro Leopoldo,MG,4
Jau,SP,4
Jataí,GO,4
Morrinhos,GO,4
são paulo,SP,4
Penapolis,SP,4
Pereira Barreto,SP,4
Picos,PI,4
Bela Vista do Paraíso,PR,4
Ijui,RS,4
Guaíra,SP,4
Santa Rita,PB,4
Salgueiro,PE,4
Guará,SP,4
Sao Luis,MA,4
Monte Carmelo,MG,4
Carmo do Paranaíba,MG,4
Sananduva,RS,4
Salinas,MG,4
Salto,SP,4
São Joaquim,SC,4
São Gotardo,MG,4
Orlândia,SP,4
Catalão,GO,4
Caçapava do Sul,RS,4
Marau,RS,4
Suzano,SP,4
Ipameri,GO,4
Marechal Cândido Rondon,PR,4
Rio de Janeiro,SP,4
Ribeirão Pires,SP,4
Lençóis Paulista,SP,4
Ipiaú,BA,4
Sarandi,RS,4
Indaiatuba,SP,4
Porto União,SC,4
Manhuaçu,MG,4
Vila Velha,ES,4
São Paulo SP,SP,4
Terra Roxa,PR,4
Quixadá,CE,4
Tupanciretã,RS,4
Bom Despacho,MG,4
Boa Esperança,MG,4
Cravinhos,SP,4
Paim Filho,RS,4
Socorro,SP,4
Santo Angelo,RS,4
Santa Fé do Sul,SP,4
Santa Fé,PR,4
Laguna,SC,4
Cachoeira Paulista,SP,4
Campina das Missões,RS,4
Santos Dumont,MG,4
Santa Helena de Goiás,GO,4
Santa Teresa,ES,4
Macapá,AP,4
Macaé,RJ,4
Taquari,RS,4
Bela Vista,MS,4
Laranjal Paulista,SP,4
Formiga,MG,4
Paulo Afonso,BA,4
Tapejara,RS,4
Cruz das Almas,BA,4
Presidente Bernardes,MG,4
Cássia,MG,4
São Manuel,SP,4
Limoeiro do Norte,CE,4
Loanda,PR,4
São Mamede,PB,4
TERESINA,PI,4
Esteio,RS,4
Dourados,MS,4
Vera Cruz,SP,4
Domingos Martins,ES,4
Dois Córregos,SP,4
Piratuba,SC,4
Abaetetuba,PA,4
Álvares Machado,SP,4
Mococa,SP,4
ARACAJU,SE,4
Parnaíba,PI,4
MARÍLIA,SP,4
Lucélia,SP,4
Sabará,MG,3
Campos dos Goitacazes,RJ,3
Canoinhas,SC,3
Aparecida,SP,3
Torres,RS,3
Caconde,SP,3
Sao Jose dos Campos,SP,3
Mimoso do Sul,ES,3
Carmo da Mata,MG,3
São Bento do Sapucaí,SP,3
Miracema,RJ,3
Guaçuí,ES,3
SANTOS,SP,3
Carmo do Rio Claro,MG,3
Dois Irmãos,RS,3
Santa Adélia,SP,3
Humaitá,RS,3
Nova Erechim,SC,3
Igarapava,SP,3
Guaíra,PR,3
Urupês,SP,3
Urussanga,SC,3
Jaraguá do Sul,SC,3
Penedo,AL,3
Votorantim,SP,3
Barueri,SP,3
BRASILIA,DF,3
Vicosa,MG,3
Juazeiro,BA,3
João Pinheiro,MG,3
Nova Esperança,PR,3
Vinhedo,SP,3
Flores da Cunha,RS,3
JOAO PESSOA,PB,3
Pedro Osório,RS,3
Ribeirão Claro,PR,3
Caxias,MA,3
Conceição das Alagoas,MG,3
Colorado,RS,3
Maringa,PR,3
Itararé,SP,3
Liberdade,MG,3
Leopoldina,MG,3
Goiana,PE,3
Gaurama,RS,3
Carrancas,MG,3
Rio Casca,MG,3
CAMPO GRANDE,MS,3
SÃO JOSÉ DO RIO PRETO,SP,3
SÃO CAETANO DO SUL,SP,3
Castanhal,PA,3
Sertaneja,PR,3
PELOTAS,RS,3
Carlos Barbosa,RS,3
Cedro,CE,3
Ipanema,MG,3
São Francisco do Sul,SC,3
Carapicuíba,SP,3
Rio de Janeiro,MG,3
Itumbiara,GO,3
Itu,SP,3
Itaúna,MG,3
Tietê,SP,3
Caibaté,RS,3
Mirandópolis,SP,3
Mirandopolis,SP,3
Sertão,RS,3
Nova Lima,MG,3
Guaranésia,MG,3
Gravataí,RS,3
São Joaquim da Barra,SP,3
Horizontina,RS,3
Castelo do Piauí,PI,3
Capanema,PA,3
Cantagalo,RJ,3
Itumirim,MG,3
LINS,SP,3
BENTO GONÇALVES,RS,3
Cambará,PR,3
Ipueiras,CE,3
Ipu,CE,3
Iraí,RS,3
Irapuru,SP,3
Roque Gonzales,RS,3
Ibaté,SP,3
Criciuma,SC,3
Paracatu,MG,3
São João do Polêsine,RS,3
Cerquilho,SP,3
São Lourenço do Sul,RS,3
Bujaru,PA,3
Santo Antônio de Jesus,BA,3
LONDRINA,PR,3
Ribeirão Bonito,SP,3
Sao Carlos,SP,3
Santa Rosa de Viterbo,SP,3
Turvo,SC,3
Arapiraca,AL,3
Santa Vitória do Palmar,RS,3
Porto Velho,RO,3
Itajuba,MG,3
Itajobi,SP,3
RIO GRANDE,RS,3
BAURU,SP,3
Taió,SC,3
Taguatinga,DF,3
São Miguel do Oeste,SC,3
Tangará,SC,3
Barra Bonita,SP,3
Quilombo,SC,3
Quaraí,RS,3
Prudentópolis,PR,3
Restinga Seca,RS,3
Presidente Venceslau,SP,3
Promissão,SP,3
Riberão Preto,SP,3
Palotina,PR,3
Goiás,GO,3
Palmitos,SC,3
Colorado,PR,3
Quirinópolis,GO,3
Frutal,MG,3
Corbélia,PR,3
Guanhães,MG,3
Pacoti,CE,3
Floraí,PR,3
Jundiai,SP,3
LAVRAS,MG,3
Maceio,AL,3
Jandaia do Sul,PR,3
Ivorá,RS,3
ARAPONGAS,PR,3
ARAÇATUBA,SP,3
Patrocínio,MG,3
Pompéia,SP,3
Paula Cândido,MG,3
Bandeirantes,PR,3
Itaituba,PA,3
Mandaguaçu,PR,3
Tapera,RS,3
Taperoá,PB,3
Mogi-Mirim,SP,3
Areia,PB,3
Bage,RS,3
Sapiranga,RS,3
Terra Rica,PR,3
Telêmaco Borba,PR,3
Pinhalzinho,SC,3
Ponte Serrada,SC,3
Porto Feliz,SP,3
Porto Nacional,TO,3
Muzambinho,MG,3
Mogi-Guaçu,SP,3
Mondaí,SC,3
Dores do Indaiá,MG,3
João Neiva,ES,3
Viamão,RS,3
Estância,SE,3
José Bonifácio,SP,3
Estância Velha,RS,3
Flórida Paulista,SP,3
Xaxim,SC,3
porto alegre,RS,3
Altamira,PA,2
Óleo,SP,2
Óbidos,PA,2
ALEGRE,ES,2
Alagoa Grande,PB,2
ARARAQUARA,SP,2
ASSIS,SP,2
salvador,BA,2
campinas,SP,2
Joaquim Távora,PR,2
ANAPOLIS,GO,2
Pirajuí,SP,2
ERECHIM,RS,2
ERVAL SECO,RS,2
Elias Fausto,SP,2
Uraí,PR,2
Upanema,RN,2
União da Vitória,PR,2
União,PI,2
Unaí,MG,2
Almenara,MG,2
Alexandria,RN,2
Jóia,RS,2
Jussara,GO,2
Janaúba,MG,2
Ivoti,RS,2
Lapa,PR,2
URUGUAIANA,RS,2
Valença,BA,2
VIÇOSA,MG,2
UBÁ,MG,2
Ponta Porã,MS,2
Pompeia,SP,2
Pomerode,SC,2
Planalto,RS,2
Duartina,SP,2
Curitibanos,SC,2
Cuité,PB,2
Cuiaba,MT,2
Pato Branco,PR,2
Passa Quatro,MG,2
Parintins,AM,2
Pedras Grandes,SC,2
Pedra Preta,MT,2
Fatima do Sul,MS,2
Pitangueiras,SP,2
Pires do Rio,GO,2
Presidente Getúlio,SC,2
Céu Azul,PR,2
Coronel Freitas,SC,2
Divinopolis,MG,2
Diadema,SP,2
Descanso,SC,2
Cruzeiro do Sul,AC,2
Cruzeiro do Oeste,PR,2
Formosa,GO,2
Paranaíba,MS,2
Paranavai,PR,2
Paranaguá,PR,2
Paraisópolis,MG,2
Paraguaçu,MG,2
Pedra Lavrada,PB,2
Paulo Lopes,SC,2
Redenção,CE,2
Recife,PB,2
Crateús,CE,2
Cosmópolis,SP,2
Colina,SP,2
Ribeirão Vermelho,MG,2
Palmitinho,RS,2
Palmital,SP,2
Palmeira dos Índios,AL,2
REGISTRO,SP,2
Quixeramobim,CE,2
Quintana,SP,2
Cruzeta,RN,2
Constantina,RS,2
Conselheiro Pena,MG,2
Restinga Sêca,RS,2
Caxambu do Sul,SC,2
Caxambu,MG,2
Catuípe,RS,2
Coromandel,MG,2
Cornélio Procópio,PR,2
Coqueiral,MG,2
Centenário do Sul,PR,2
Rio Piracicaba,MG,2
Palhoça,SC,2
Palestina,SP,2
Pacatuba,CE,2
PRESIDENTE PRUDENTE,SP,2
Guajará Mirim,RO,2
Gaspar,SC,2
Paracatú,MG,2
Registro,SP,2
Caraúbas,RN,2
Rio de Janeiro,DF,2
Rio das Pedras,SP,2
Rio Vermelho,MG,2
Clementina,SP,2
Charqueada,SP,2
PALMARES,PE,2
Ouro Fino,MG,2
Guarujá,SP,2
Guaraçaí,SP,2
Guaratingueta,SP,2
Giruá,RS,2
Getulio Vargas,RS,2
Palmas,PR,2
Rinópolis,SP,2
Rincão,SP,2
Guaraci,SP,2
Rubiataba,GO,2
Rondonópolis,MT,2
Castro,PR,2
Capitólio,MG,2
Capinzal,SC,2
Capelinha,MG,2
Guarabira,PB,2
Orleans,SC,2
Oriente,SP,2
Oliveira,MG,2
Gramado,RS,2
PIRIPIRI,PI,2
Carpina,PE,2
Rolante,RS,2
Roca Sales,RS,2
Nepomuceno,MG,2
Herculândia,SP,2
Gurupi,TO,2
SAO CARLOS,SP,2
SANTO ANDRE,SP,2
SANTIAGO,RS,2
