Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
0030172084604212,,,,,,,,,,,,,,,,,,,,,Estudos De Linguagem,Centro Federal de Educação Tecnológica de Minas Gerais,2015,2018
0040621540867052,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1997,1999,,,,,,,,,,,,,,,,
0048917456220923,,,,,Eletromecânica,Centro Federal de Educação Tecnológica de Minas Gerais,2000,2002,,,,,,,,,,,,,,,,
0054130506390778,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1992,1996,,,,,,,,,,,,,,,,
0057571397708278,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1993,1995,,,,,,,,,,,,,,,,
0096505935651596,,,,,Química Industrial,Centro Federal de Educação Tecnológica de Minas Gerais,1996,1998,,,,,,,,,,,,,,,,
0129323556531304,,,,,,,,,Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1999,2004,,,,,,,,,,,,
0156197892875545,,,,,,,,,,,,,,,,,Tecnologia,Centro Federal de Educação Tecnológica de Minas Gerais,1997,1999,,,,
0193823400243551,,,,,Eletromecânica,Centro Federal de Educação Tecnológica de Minas Gerais,2000,2003,,,,,,,,,,,,,,,,
0249563467742892,,,,,,,,,Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1997,2002,,,,,,,,,,,,
0342014878408861,,,,,Química,Centro Federal de Educação Tecnológica de Minas Gerais,1987,1989,,,,,,,,,,,,,,,,
0376427578680562,,,,,,,,,Engenharia Industrial Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1993,2000,,,,,,,,,,,,
0384697972696127,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1987,1989,,,,,,,,,,,,,,,,
0392812753827562,,,,,,,,,Licenciatura Plena Em Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1988,1990,,,,,,,,,,,,
