Identificador,Pontuação
0030172084604212,1
0040621540867052,1
0048917456220923,1
0054130506390778,1
0057571397708278,1
0096505935651596,1
0129323556531304,1
0156197892875545,1
0193823400243551,1
0249563467742892,1
0342014878408861,1
0376427578680562,1
0384697972696127,1
0392812753827562,1
0435800144372924,1
0439450274124588,1
0458971388614741,2
0487113229071944,1
0498963442583078,1
0521334155968808,1
0529973259046894,1
0544360374992066,2
0570351348662387,1
0573379397721449,1
0600049394426786,2
0631558505207317,1
0643030653806512,1
0655100159335962,1
0661827429605846,1
0667848420866221,1
0700158294516288,1
0720534218203801,3
0725800206328814,1
0783179484317105,2
0951174312888313,2
0976210016960340,1
1004602872315324,1
1021637321450049,1
1025488431740232,1
1114741703148406,1
1122087285483382,1
1150050058028878,1
1172487603215469,1
1184490161532508,2
1202901189979381,1
1227625992961768,1
1242222773214809,1
1302666258264971,1
1314034018345171,1
1331652492006790,1
1340927379186239,1
1358275083432388,2
1383558830607731,2
1417352534474752,2
1442485713184411,1
1442633946419132,1
1450315526694205,1
1472669413938036,1
1474354164985290,1
1478736054440106,1
1478880673552570,2
1533023906217976,1
1540611751655281,2
1565181845151740,1
1584173805850799,2
1590582190508214,1
1593707716553548,1
1602882799122496,2
1618821921549627,2
1627980643177582,1
1636694038972802,1
1643410432837277,2
1654772916093941,1
1703448583267910,1
1708501733558544,1
1729879819280874,1
1767234297647906,3
1835449945133209,2
1841799475396072,2
1858596002181893,1
1868816663610134,2
1875326035463751,1
1899356986619099,1
1920803055130348,1
1959433482643214,2
1964198733092846,1
1989081286274816,1
2003009101258670,1
2003051305652723,1
2021890970181321,1
2039900917750691,1
2059026424367284,1
2109150393605727,1
2157968516048040,1
2168277444752193,1
2173798953418445,1
2202102584504407,1
2204279029918735,2
2264931829840693,1
2270334190661422,1
2279435887416972,1
2297262157782323,1
2315264795654609,1
2350999296977270,1
2394009040939868,1
2395411911546232,1
2408594767683122,1
2414677052501972,1
2541931523196689,1
2545337686252068,1
2572462775582499,1
2580986429763465,1
2582202671258213,1
2586202325653230,1
2622198823346358,1
2628557550611049,1
